"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1992,"Total",16656169.999999998
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1992,"CO2",15699999.999999998
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1992,"N2O",163770
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1992,"CH4",792400
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1992,"F-gases",0
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1993,"Total",16977660
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1993,"CO2",16000000
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1993,"N2O",160060
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1993,"CH4",817600
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1993,"F-gases",0
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1994,"Total",16407544.999999998
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1994,"CO2",15499999.999999998
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1994,"N2O",157145
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1994,"CH4",750400
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1994,"F-gases",0
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1995,"Total",17122305
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1995,"CO2",16200000
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1995,"N2O",163505
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1995,"CH4",758800
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1995,"F-gases",0
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1996,"Total",17166655
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1996,"CO2",16200000
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1996,"N2O",171455
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1996,"CH4",795200
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1996,"F-gases",0
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1997,"Total",18932260
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1997,"CO2",18000000
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1997,"N2O",170660
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1997,"CH4",761600
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1997,"F-gases",0
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1998,"Total",20132155
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1998,"CO2",19200000
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1998,"N2O",187355
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1998,"CH4",744800
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1998,"F-gases",0
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1999,"Total",19698890
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1999,"CO2",18800000
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1999,"N2O",176490
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1999,"CH4",722400
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",1999,"F-gases",0
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",2000,"Total",18950875
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",2000,"CO2",18100000
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",2000,"N2O",178875
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",2000,"CH4",672000
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",2000,"F-gases",0
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",2001,"Total",19898210
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",2001,"CO2",19000000
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",2001,"N2O",178610
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",2001,"CH4",719600
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",2001,"F-gases",0
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",2002,"Total",20883300
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",2002,"CO2",20000000
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",2002,"N2O",174900
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",2002,"CH4",708400
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",2002,"F-gases",0
"HRV","Croatia","Southern Europe","Central Europe and the Baltic States","Energy","Not agri-food","yes","no",2003,"Total",22353080
