"ISO3","Area","Item","Group","sector","agrifood","Year","tCO2eq_total","tCO2eq_N2O","tCO2eq_CH4","tCO2eq_Fgases"
"HUN","Hungary","Energy","Not agri-food","yes","no",1992,63131866.5,343528.8,2926830.8000000003,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",1993,64786179,325504.7,3003023.2,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",1994,61636221.599999994,320084.9,3000838.6999999997,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",1995,63025595.1,309233.1,3043589.1,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",1996,64979841.2,310944.7,3038140.6,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",1997,64034664.2,307064,2988621.2,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",1998,61600320.3,314810.2,2876166.2,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",1999,61176634.400000006,322144.1,2831820.3,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",2000,57737866.4,301882.5,2791417.9,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",2001,58729691.3,283246.4,2814721.8,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",2002,57669754,286905.19999999995,2841787.8000000003,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",2003,60762986.900000006,286329.60000000003,2899932.3,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",2004,58878966.699999996,277446.7,2815865.9,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",2005,59902108.3,300092.30000000005,2973425,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",2006,59372790.2,312820.3,2962461.9,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",2007,58016553.3,317787.69999999995,2869494.6,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",2008,56724166.8,319124.39999999997,2810802.4,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",2009,50687934.2,329991.6,2918786.6,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",2010,53191949.1,340847.30000000005,3002673.8,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",2011,51746108.800000004,335364.8,3062545.9,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",2012,48131445.4,319157.89999999997,3042619.4,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",2013,45128767,349978.8,3007225.1999999997,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",2014,44164561.800000004,347991.30000000005,2813356.6,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",2015,47207079.7,370084.5,2862433.3000000003,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",2016,47973788.2,374175.4,2881515.8000000003,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",2017,50128685.3,386406,2871111.3,NA
"HUN","Hungary","Energy","Not agri-food","yes","no",2018,50647684,395484.89999999997,2761971.1,NA
