"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1992,"Total",775284696.5
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1992,"CO2",677443760
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1992,"N2O",10321210.5
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1992,"CH4",87519726
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1992,"F-gases",0
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1993,"Total",796222956.4
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1993,"CO2",700660460
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1993,"N2O",10661378
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1993,"CH4",84901118.4
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1993,"F-gases",0
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1994,"Total",841422464
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1994,"CO2",743970870
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1994,"N2O",11115822.8
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1994,"CH4",86335771.2
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1994,"F-gases",0
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1995,"Total",893346284.8000001
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1995,"CO2",790079040.0000001
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1995,"N2O",11779098.4
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1995,"CH4",91488146.39999999
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1995,"F-gases",0
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1996,"Total",959356521.3000001
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1996,"CO2",853689450.0000001
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1996,"N2O",12360140.1
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1996,"CH4",93306931.2
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1996,"F-gases",0
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1997,"Total",993420008.8
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1997,"CO2",882627390
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1997,"N2O",12519285.6
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1997,"CH4",98273333.19999999
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1997,"F-gases",0
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1998,"Total",1005832365.4
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1998,"CO2",897990260
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1998,"N2O",12827975
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1998,"CH4",95014130.39999999
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1998,"F-gases",0
"IND","India","Southern Asia",NA,"Energy","Not agri-food","yes","no",1999,"Total",1067842028.2999998
