"ISO3","Area","Item","Group","sector","agrifood","Year","tCO2eq_total","tCO2eq_N2O","tCO2eq_CH4","tCO2eq_Fgases"
"IRL","Ireland","Energy","Not agri-food","yes","no",1992,31663971.8,206462.6,1143336.2,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",1993,32124559.6,208100.1,1204697.5,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",1994,33382051.9,220796.6,1184699.3,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",1995,33604575.599999994,236593.4,1176253.2000000002,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",1996,35438699,228436.9,1203893.1,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",1997,36545990.2,234932.7,888987.5,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",1998,38467550.199999996,249792.69999999998,598032.5,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",1999,40017443.6,260105.59999999998,751894.9,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2000,41243985.3,276426.30000000005,982371,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2001,43652854.800000004,284168.60000000003,976242.3,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2002,43093918.8,280225.19999999995,980791.6,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2003,42897096.8,289545.2,1742394.6,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2004,42601386.9,288505.80000000005,1007341.1,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2005,42346443.4,305852.39999999997,979651,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2006,42063457,311336.3,971773.7,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2007,43453160.900000006,307175.9,948834,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2008,42217920.1,301684.6,941397.5,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2009,40414472.4,271338,922885.5,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2010,39952334.4,260041.49999999997,898803.9,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2011,35807566.7,244977,854817.7,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2012,36133579.400000006,241585.90000000002,838350.5,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2013,35058450.3,230907.4,837020.9,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2014,34256451.6,232675.80000000002,811707.8,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2015,36004767.5,236763.5,804150,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2016,38107997.8,245181.4,1096647.4000000001,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2017,36018312.7,244366.19999999998,1105000.4,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2018,35519907.9,249260,1113879.9,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2019,34222452.7,242155.1,1021267.6,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2020,32496443.1,225544.80000000002,964243.2999999999,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2021,34463310.599999994,243002.1,952965.5,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2022,35085941.9,261460.30000000002,898623.6,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2030,NA,NA,NA,NA
"IRL","Ireland","Energy","Not agri-food","yes","no",2050,NA,NA,NA,NA
"IRL","Ireland","IPPU","Not agri-food","yes","no",1992,2307030.5,661467.5,0,64218.2
"IRL","Ireland","IPPU","Not agri-food","yes","no",1993,2273378.4,661664.2000000001,0,103502.1
"IRL","Ireland","IPPU","Not agri-food","yes","no",1994,2620630.4,661907.9,0,143796.5
"IRL","Ireland","IPPU","Not agri-food","yes","no",1995,2634270.5,662193.2000000001,0,215744.5
"IRL","Ireland","IPPU","Not agri-food","yes","no",1996,2778952.8,670670.8999999999,0,309306.4
"IRL","Ireland","IPPU","Not agri-food","yes","no",1997,3213607.5999999996,674351,0,434933.10000000003
"IRL","Ireland","IPPU","Not agri-food","yes","no",1998,3029549.5999999996,672795,0,352199.9
"IRL","Ireland","IPPU","Not agri-food","yes","no",1999,3173523.9000000004,672098.7,0,493645.4
"IRL","Ireland","IPPU","Not agri-food","yes","no",2000,3986480.7,675502.7,0,709600.1
"IRL","Ireland","IPPU","Not agri-food","yes","no",2001,4054040.1,578325.2,0,727645.4
"IRL","Ireland","IPPU","Not agri-food","yes","no",2002,3720122.1999999997,305397,0,724920.1000000001
"IRL","Ireland","IPPU","Not agri-food","yes","no",2003,3339506.1999999997,188545.80000000002,0.1,933875.2
"IRL","Ireland","IPPU","Not agri-food","yes","no",2004,3490855.5,147012.9,0,951026.1000000001
"IRL","Ireland","IPPU","Not agri-food","yes","no",2005,3701285.1999999997,59440.2,0,1145682.9
"IRL","Ireland","IPPU","Not agri-food","yes","no",2006,3624534.2,49607.100000000006,0,1125704.3
"IRL","Ireland","IPPU","Not agri-food","yes","no",2007,3656565.3000000003,50698.799999999996,0,1124231.5
"IRL","Ireland","IPPU","Not agri-food","yes","no",2008,3428986.1999999997,51753.700000000004,0,1169059.6
"IRL","Ireland","IPPU","Not agri-food","yes","no",2009,2609219.8,52658.299999999996,0,1126695.9
"IRL","Ireland","IPPU","Not agri-food","yes","no",2010,2357191.1,53336.9,0,1095429.1
"IRL","Ireland","IPPU","Not agri-food","yes","no",2011,2235779.4,53747.9,0,1108341.4
"IRL","Ireland","IPPU","Not agri-food","yes","no",2012,2423824.4,53927,0,1081756.5
"IRL","Ireland","IPPU","Not agri-food","yes","no",2013,2399081.5,53971.4,0,1117019.9
"IRL","Ireland","IPPU","Not agri-food","yes","no",2014,2811199.7,54021.9,0,1185769.6
"IRL","Ireland","IPPU","Not agri-food","yes","no",2015,3005794.6999999997,54180.5,0,1186717.2
"IRL","Ireland","IPPU","Not agri-food","yes","no",2016,3234719.6,54479.9,0,1266787.9000000001
"IRL","Ireland","IPPU","Not agri-food","yes","no",2017,3244218.6,54890,0,1187057.2
"IRL","Ireland","IPPU","Not agri-food","yes","no",2018,2986037.9,55375.2,0,879211.4
"IRL","Ireland","IPPU","Not agri-food","yes","no",2019,2970149.4,55875.4,0,862982.5
"IRL","Ireland","IPPU","Not agri-food","yes","no",2020,2708705.5,56346.3,0,728380.7000000001
"IRL","Ireland","IPPU","Not agri-food","yes","no",2021,2981730,56784.5,0,661119.2
"IRL","Ireland","IPPU","Not agri-food","yes","no",2022,2836746.3,57199.5,0,656110.8
"IRL","Ireland","IPPU","Not agri-food","yes","no",2030,NA,NA,NA,NA
"IRL","Ireland","IPPU","Not agri-food","yes","no",2050,NA,NA,NA,NA
"IRL","Ireland","Waste","Not agri-food","yes","no",1992,2089113.4000000001,68950.8,1989305.2,NA
"IRL","Ireland","Waste","Not agri-food","yes","no",1993,2097782.9000000004,67888.5,1998986.5,NA
