"ISO3","Area","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"JOR","Jordan","Energy","Not agri-food","yes","no",1992,"Total",10858936.4
"JOR","Jordan","Energy","Not agri-food","yes","no",1992,"CO2",10706774
"JOR","Jordan","Energy","Not agri-food","yes","no",1992,"N2O",50704.3
"JOR","Jordan","Energy","Not agri-food","yes","no",1992,"CH4",101458.1
"JOR","Jordan","Energy","Not agri-food","yes","no",1992,"F-gases",NA
"JOR","Jordan","Energy","Not agri-food","yes","no",1993,"Total",10499274.2
"JOR","Jordan","Energy","Not agri-food","yes","no",1993,"CO2",10351099
"JOR","Jordan","Energy","Not agri-food","yes","no",1993,"N2O",38016.5
"JOR","Jordan","Energy","Not agri-food","yes","no",1993,"CH4",110158.7
"JOR","Jordan","Energy","Not agri-food","yes","no",1993,"F-gases",NA
"JOR","Jordan","Energy","Not agri-food","yes","no",1994,"Total",11827449
"JOR","Jordan","Energy","Not agri-food","yes","no",1994,"CO2",11638111
"JOR","Jordan","Energy","Not agri-food","yes","no",1994,"N2O",43072.5
"JOR","Jordan","Energy","Not agri-food","yes","no",1994,"CH4",146265.5
"JOR","Jordan","Energy","Not agri-food","yes","no",1994,"F-gases",NA
"JOR","Jordan","Energy","Not agri-food","yes","no",1995,"Total",12010595.600000001
"JOR","Jordan","Energy","Not agri-food","yes","no",1995,"CO2",11806779.000000002
"JOR","Jordan","Energy","Not agri-food","yes","no",1995,"N2O",51292.299999999996
"JOR","Jordan","Energy","Not agri-food","yes","no",1995,"CH4",152524.30000000002
"JOR","Jordan","Energy","Not agri-food","yes","no",1995,"F-gases",NA
"JOR","Jordan","Energy","Not agri-food","yes","no",1996,"Total",12643467.2
"JOR","Jordan","Energy","Not agri-food","yes","no",1996,"CO2",12433787.899999999
"JOR","Jordan","Energy","Not agri-food","yes","no",1996,"N2O",59349.5
"JOR","Jordan","Energy","Not agri-food","yes","no",1996,"CH4",150329.80000000002
"JOR","Jordan","Energy","Not agri-food","yes","no",1996,"F-gases",NA
"JOR","Jordan","Energy","Not agri-food","yes","no",1997,"Total",13026227.8
"JOR","Jordan","Energy","Not agri-food","yes","no",1997,"CO2",12796791
"JOR","Jordan","Energy","Not agri-food","yes","no",1997,"N2O",71387.4
"JOR","Jordan","Energy","Not agri-food","yes","no",1997,"CH4",158049.4
"JOR","Jordan","Energy","Not agri-food","yes","no",1997,"F-gases",NA
"JOR","Jordan","Energy","Not agri-food","yes","no",1998,"Total",13455823.6
"JOR","Jordan","Energy","Not agri-food","yes","no",1998,"CO2",13222128
"JOR","Jordan","Energy","Not agri-food","yes","no",1998,"N2O",74586.8
"JOR","Jordan","Energy","Not agri-food","yes","no",1998,"CH4",159108.8
"JOR","Jordan","Energy","Not agri-food","yes","no",1998,"F-gases",NA
"JOR","Jordan","Energy","Not agri-food","yes","no",1999,"Total",13463013.4
"JOR","Jordan","Energy","Not agri-food","yes","no",1999,"CO2",13229462
"JOR","Jordan","Energy","Not agri-food","yes","no",1999,"N2O",78400.2
"JOR","Jordan","Energy","Not agri-food","yes","no",1999,"CH4",155151.19999999998
"JOR","Jordan","Energy","Not agri-food","yes","no",1999,"F-gases",NA
"JOR","Jordan","Energy","Not agri-food","yes","no",2000,"Total",14407975.6
"JOR","Jordan","Energy","Not agri-food","yes","no",2000,"CO2",14190137.1
"JOR","Jordan","Energy","Not agri-food","yes","no",2000,"N2O",59214.2
"JOR","Jordan","Energy","Not agri-food","yes","no",2000,"CH4",158624.30000000002
"JOR","Jordan","Energy","Not agri-food","yes","no",2000,"F-gases",NA
