"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1992,"Total",43012875
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1992,"CO2",29500000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1992,"N2O",72875
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1992,"CH4",13440000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1992,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1993,"Total",73310705
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1993,"CO2",49600000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1993,"N2O",78705
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1993,"CH4",23632000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1993,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1994,"Total",80626000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1994,"CO2",54900000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1994,"N2O",106000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1994,"CH4",25620000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1994,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1995,"Total",77934165
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1995,"CO2",53900000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1995,"N2O",122165
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1995,"CH4",23912000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1995,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1996,"Total",74153220
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1996,"CO2",49200000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1996,"N2O",145220
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1996,"CH4",24808000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1996,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1997,"Total",81021765
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1997,"CO2",53900000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1997,"N2O",185765
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1997,"CH4",26936000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1997,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1998,"Total",74735545
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1998,"CO2",51100000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1998,"N2O",199545
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1998,"CH4",23436000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1998,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1999,"Total",75234625
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1999,"CO2",53400000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1999,"N2O",218625
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1999,"CH4",21616000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",1999,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2000,"Total",77792110
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2000,"CO2",53000000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2000,"N2O",152110
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2000,"CH4",24640000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2000,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2001,"Total",80563530
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2001,"CO2",57500000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2001,"N2O",159530
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2001,"CH4",22904000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2001,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2002,"Total",81760540
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2002,"CO2",58800000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2002,"N2O",168540
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2002,"CH4",22792000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2002,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2003,"Total",89715165
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2003,"CO2",60700000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2003,"N2O",175165
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2003,"CH4",28840000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2003,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2004,"Total",92443380
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2004,"CO2",63700000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2004,"N2O",183380
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2004,"CH4",28560000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2004,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2005,"Total",103674245
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2005,"CO2",72400000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2005,"N2O",194245
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2005,"CH4",31080000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2005,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2006,"Total",105181930
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2006,"CO2",73900000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2006,"N2O",201930
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2006,"CH4",31080000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2006,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2007,"Total",104541135
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2007,"CO2",75500000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2007,"N2O",201135
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2007,"CH4",28840000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2007,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2008,"Total",109758170
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2008,"CO2",82000000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2008,"N2O",206170
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2008,"CH4",27552000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2008,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2009,"Total",110564530
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2009,"CO2",86300000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2009,"N2O",212530
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2009,"CH4",24052000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2009,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2010,"Total",112795370
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2010,"CO2",88600000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2010,"N2O",227370
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2010,"CH4",23968000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2010,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2011,"Total",112711685
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2011,"CO2",85500000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2011,"N2O",219685
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2011,"CH4",26992000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2011,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2012,"Total",128913325
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2012,"CO2",99300000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2012,"N2O",213325
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2012,"CH4",29400000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2012,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2013,"Total",112369490
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2013,"CO2",83300000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2013,"N2O",229490
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2013,"CH4",28840000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2013,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2014,"Total",103702600
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2014,"CO2",75200000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2014,"N2O",222600
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2014,"CH4",28280000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2014,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2015,"Total",121495180
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2015,"CO2",93000000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2015,"N2O",215180
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2015,"CH4",28280000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2015,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2016,"Total",137623925
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2016,"CO2",108000000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2016,"N2O",223925
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2016,"CH4",29400000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2016,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2017,"Total",130472695
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2017,"CO2",103000000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2017,"N2O",228695
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2017,"CH4",27244000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2017,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2018,"Total",132873704.99999999
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2018,"CO2",104999999.99999999
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2018,"N2O",237705
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2018,"CH4",27636000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2018,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2019,"Total",135313705
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2019,"CO2",108000000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2019,"N2O",237705
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2019,"CH4",27076000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2019,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2020,"Total",122140215
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2020,"CO2",97000000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2020,"N2O",220215
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2020,"CH4",24920000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2020,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2021,"Total",136972040
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2021,"CO2",112000000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2021,"N2O",248040
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2021,"CH4",24724000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2021,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2022,"Total",137792090
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2022,"CO2",110000000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2022,"N2O",240090
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2022,"CH4",27552000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2022,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2023,"Total",143839295
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2023,"CO2",117000000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2023,"N2O",239295
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2023,"CH4",26600000
"KWT","Kuwait","Western Asia",NA,"Energy","Not agri-food","yes","no",2023,"F-gases",0
"KWT","Kuwait","Western Asia",NA,"IPPU","Not agri-food","yes","no",1992,"Total",1999016
"KWT","Kuwait","Western Asia",NA,"IPPU","Not agri-food","yes","no",1992,"CO2",1470000
"KWT","Kuwait","Western Asia",NA,"IPPU","Not agri-food","yes","no",1992,"N2O",76320
"KWT","Kuwait","Western Asia",NA,"IPPU","Not agri-food","yes","no",1992,"CH4",3696
"KWT","Kuwait","Western Asia",NA,"IPPU","Not agri-food","yes","no",1992,"F-gases",449000
"KWT","Kuwait","Western Asia",NA,"IPPU","Not agri-food","yes","no",1993,"Total",2337255
"KWT","Kuwait","Western Asia",NA,"IPPU","Not agri-food","yes","no",1993,"CO2",1770000
"KWT","Kuwait","Western Asia",NA,"IPPU","Not agri-food","yes","no",1993,"N2O",70755
"KWT","Kuwait","Western Asia",NA,"IPPU","Not agri-food","yes","no",1993,"CH4",3500
