"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"LAO","Lao People's Democratic Republic","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"Total",1061705
"LAO","Lao People's Democratic Republic","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"CO2",587000
"LAO","Lao People's Democratic Republic","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"N2O",57505
"LAO","Lao People's Democratic Republic","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"CH4",417200
"LAO","Lao People's Democratic Republic","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"F-gases",0
"LAO","Lao People's Democratic Republic","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"Total",1083970
"LAO","Lao People's Democratic Republic","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"CO2",609000
"LAO","Lao People's Democratic Republic","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"N2O",57770
"LAO","Lao People's Democratic Republic","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"CH4",417200
"LAO","Lao People's Democratic Republic","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"F-gases",0
"LAO","Lao People's Democratic Republic","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"Total",1109300
"LAO","Lao People's Democratic Republic","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"CO2",631000
"LAO","Lao People's Democratic Republic","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"N2O",58300
"LAO","Lao People's Democratic Republic","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"CH4",420000
"LAO","Lao People's Democratic Republic","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"F-gases",0
"LAO","Lao People's Democratic Republic","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1995,"Total",1215795
"LAO","Lao People's Democratic Republic","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1995,"CO2",667000
