"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"Total",16403.5
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"CO2",0
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"N2O",16403.5
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"CH4",0
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1992,"F-gases",0
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"Total",8798
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"CO2",0
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"N2O",8798
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"CH4",0
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1993,"F-gases",0
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"Total",6784
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"CO2",0
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"N2O",6784
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"CH4",0
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1994,"F-gases",0
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"Total",7552.5
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"CO2",0
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"N2O",7552.5
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"CH4",0
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1995,"F-gases",0
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"Total",11580.5
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"CO2",0
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"N2O",11580.5
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"CH4",0
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1996,"F-gases",0
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"Total",20352
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"CO2",0
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"N2O",20352
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"CH4",0
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1997,"F-gases",0
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"Total",24592
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"CO2",0
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"N2O",24592
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"CH4",0
"LBR","Liberia","Western Africa",NA,"Crop Residues","Not agri-food","no","Farm gate",1998,"F-gases",0
