"ISO3","Area","Item","Group","sector","agrifood","Year","tCO2eq_total","tCO2eq_N2O","tCO2eq_CH4","tCO2eq_Fgases"
"LBR","Liberia","Energy","Not agri-food","yes","no",1992,896879.7,49524,458685.4,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",1993,879632.7,45402.299999999996,419893.3,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",1994,847881.8,42339.799999999996,391204.9,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",1995,863174.5,43937.8,404899.60000000003,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",1996,897880.9,46246.1,429964.3,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",1997,974135.8,50637.700000000004,479827.3,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",1998,1068255.7999999998,56748.8,542169.3,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",1999,1093839.2,68068.4,655434.1,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2000,1189277.7000000002,77226.20000000001,741714.7999999999,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2001,1234760,79547.3,762875.8,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2002,1290987.2,82810.1,797506.7000000001,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2003,1381834.8,87411.6,839752.4,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2004,1484903.9,93123.7,893109.1,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2005,1644756.5999999999,99918.40000000001,950832.8,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2006,1752906.3,104371.5,1036195.8999999999,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2007,1696401.3,108106.7,1023622.7999999999,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2008,1664873.9000000001,111330.29999999999,1058539.2,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2009,1666519.9,115986.5,1106862.5999999999,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2010,2010483.2,122920.3,1157889.5999999999,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2011,2151015.6999999997,128242.79999999999,1205098.7,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2012,2312171.2,134545.9,1260950.3,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2013,2241829.2,138275.1,1304213.5,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2014,2214997.1,146788,1360535.9000000001,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2015,1910838.9,152269.9,1406565.7000000002,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2016,2030181,160146.9,1463030.4000000001,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2017,2459647.5,164255.30000000002,1514385.0999999999,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2018,2035840,171090,1571413.9,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2019,2710295.3000000003,177987.69999999998,1644966.2000000002,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2020,2509859.9,185784.3,1715403.4,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2021,2843761.7,192384.6,1771977.4,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2022,2852637.6,192962.7,1772226.5,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2030,NA,NA,NA,NA
"LBR","Liberia","Energy","Not agri-food","yes","no",2050,NA,NA,NA,NA
"LBR","Liberia","IPPU","Not agri-food","yes","no",1992,8545.7,5.8999999999999995,NA,NA
"LBR","Liberia","IPPU","Not agri-food","yes","no",1993,8571,5.8,NA,NA
"LBR","Liberia","IPPU","Not agri-food","yes","no",1994,6511.4,5.8999999999999995,NA,NA
"LBR","Liberia","IPPU","Not agri-food","yes","no",1995,7409.0999999999995,6,NA,NA
"LBR","Liberia","IPPU","Not agri-food","yes","no",1996,11781.4,6.4,NA,NA
