"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1992,"Total",21005220
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1992,"CO2",20700000
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1992,"N2O",83740
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1992,"CH4",221480
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1992,"F-gases",0
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1993,"Total",16000130
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1993,"CO2",15700000
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1993,"N2O",134090
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1993,"CH4",166040
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1993,"F-gases",0
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1994,"Total",12577515
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1994,"CO2",12300000
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1994,"N2O",113155
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1994,"CH4",164360
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1994,"F-gases",0
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1995,"Total",11664910
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1995,"CO2",11400000
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1995,"N2O",103350
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1995,"CH4",161560
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1995,"F-gases",0
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1996,"Total",11937930
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1996,"CO2",11700000
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1996,"N2O",85330
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1996,"CH4",152600
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1996,"F-gases",0
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1997,"Total",7435480
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1997,"CO2",7220000
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1997,"N2O",76320
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1997,"CH4",139160
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1997,"F-gases",0
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1998,"Total",6654535
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1998,"CO2",6470000
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1998,"N2O",59095
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1998,"CH4",125440
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1998,"F-gases",0
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1999,"Total",4855820
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1999,"CO2",4690000
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1999,"N2O",43460
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1999,"CH4",122360
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",1999,"F-gases",0
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",2000,"Total",3736425
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",2000,"CO2",3580000
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",2000,"N2O",36305
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",2000,"CH4",120120
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",2000,"F-gases",0
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",2001,"Total",3932355
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",2001,"CO2",3780000
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",2001,"N2O",38955
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",2001,"CH4",113400
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",2001,"F-gases",0
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",2002,"Total",4153785
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",2002,"CO2",3980000
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",2002,"N2O",51145
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",2002,"CH4",122640
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",2002,"F-gases",0
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",2003,"Total",4506385
"MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus","Energy","Not agri-food","yes","no",2003,"CO2",4320000
