"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1992,"Total",339012200
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1992,"CO2",322000000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1992,"N2O",2088199.9999999998
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1992,"CH4",14924000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1992,"F-gases",0
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1993,"Total",344370650
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1993,"CO2",327000000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1993,"N2O",2334650
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1993,"CH4",15036000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1993,"F-gases",0
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1994,"Total",356819900
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1994,"CO2",339000000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1994,"N2O",2559900
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1994,"CH4",15260000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1994,"F-gases",0
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1995,"Total",341560500
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1995,"CO2",322000000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1995,"N2O",2676500
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1995,"CH4",16884000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1995,"F-gases",0
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1996,"Total",357258500
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1996,"CO2",335000000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1996,"N2O",2994500
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1996,"CH4",19264000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1996,"F-gases",0
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1997,"Total",385293000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1997,"CO2",359000000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1997,"N2O",3445000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1997,"CH4",22848000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1997,"F-gases",0
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1998,"Total",405156000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1998,"CO2",378000000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1998,"N2O",4028000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1998,"CH4",23128000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1998,"F-gases",0
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1999,"Total",403309000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1999,"CO2",378000000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1999,"N2O",4505000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1999,"CH4",20804000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",1999,"F-gases",0
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2000,"Total",406286500
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2000,"CO2",382000000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2000,"N2O",2782500
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2000,"CH4",21504000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2000,"F-gases",0
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2001,"Total",419354500
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2001,"CO2",397000000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2001,"N2O",2782500
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2001,"CH4",19572000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2001,"F-gases",0
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2002,"Total",419589000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2002,"CO2",399000000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2002,"N2O",2809000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2002,"CH4",17780000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2002,"F-gases",0
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2003,"Total",446454500
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2003,"CO2",424000000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2003,"N2O",2994500
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2003,"CH4",19460000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2003,"F-gases",0
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2004,"Total",445411000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2004,"CO2",424000000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2004,"N2O",3127000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2004,"CH4",18284000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2004,"F-gases",0
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2005,"Total",470161000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2005,"CO2",448000000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2005,"N2O",3233000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2005,"CH4",18928000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2005,"F-gases",0
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2006,"Total",483945500
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2006,"CO2",460000000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2006,"N2O",3365500
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2006,"CH4",20580000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2006,"F-gases",0
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2007,"Total",488181000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2007,"CO2",462000000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2007,"N2O",3445000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2007,"CH4",22736000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2007,"F-gases",0
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2008,"Total",505875500
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2008,"CO2",476000000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2008,"N2O",3471500
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2008,"CH4",26404000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2008,"F-gases",0
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2009,"Total",484619000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2009,"CO2",458000000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2009,"N2O",3127000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2009,"CH4",23492000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2009,"F-gases",0
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2010,"Total",473104000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2010,"CO2",448000000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2010,"N2O",3180000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2010,"CH4",21924000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2010,"F-gases",0
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2011,"Total",493857000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2011,"CO2",468000000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2011,"N2O",3233000
"MEX","Mexico","Central America",NA,"Energy","Not agri-food","yes","no",2011,"CH4",22624000
