"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1992,"Total",1186970
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1992,"CO2",455000
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1992,"N2O",68370
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1992,"CH4",663600
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1992,"F-gases",0
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1993,"Total",1247630
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1993,"CO2",495000
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1993,"N2O",69430
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1993,"CH4",683200
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1993,"F-gases",0
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1994,"Total",1307095
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1994,"CO2",543000
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1994,"N2O",69695
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1994,"CH4",694400
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1994,"F-gases",0
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1995,"Total",1388340
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1995,"CO2",590000
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1995,"N2O",73140
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1995,"CH4",725200
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1995,"F-gases",0
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1996,"Total",1457405
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1996,"CO2",642000
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1996,"N2O",73405
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1996,"CH4",742000
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1996,"F-gases",0
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1997,"Total",1535475
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1997,"CO2",715000
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1997,"N2O",72875
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1997,"CH4",747600
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1997,"F-gases",0
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1998,"Total",1770270
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1998,"CO2",935000
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1998,"N2O",73670
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1998,"CH4",761600
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1998,"F-gases",0
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1999,"Total",1875910
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1999,"CO2",972000
"MLI","Mali","Western Africa",NA,"Energy","Not agri-food","yes","no",1999,"N2O",77910
