"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"Total",10015370.5
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"CO2",4901872.100000001
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"N2O",413883.5
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"CH4",4699614.899999999
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"F-gases",0
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"Total",9931410.299999999
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"CO2",5405445.499999998
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"N2O",428068.5
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"CH4",4097896.3000000003
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"F-gases",0
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"Total",10767649.9
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"CO2",6283278.300000001
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"N2O",459956
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"CH4",4024415.5999999996
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"F-gases",0
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1995,"Total",11677838.700000001
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1995,"CO2",7003189.000000001
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1995,"N2O",475659.7
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1995,"CH4",4198990
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1995,"F-gases",0
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1996,"Total",11986776.9
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1996,"CO2",7323533.4
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1996,"N2O",466402.2
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1996,"CH4",4196841.3
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1996,"F-gases",0
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1997,"Total",12362117.6
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1997,"CO2",7566897.8
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1997,"N2O",475740.7
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1997,"CH4",4319479.1
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1997,"F-gases",0
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1998,"Total",13550562.700000001
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1998,"CO2",8261262.000000001
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1998,"N2O",511148.6
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1998,"CH4",4778152.100000001
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1998,"F-gases",0
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1999,"Total",14935165.4
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1999,"CO2",9168813
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1999,"N2O",527266.8
"MMR","Myanmar","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1999,"CH4",5239085.600000001
