"ISO3","Area","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1992,"Total",3401120
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1992,"CO2",1016054
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1992,"N2O",213848.3
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1992,"CH4",2171217.7
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1992,"F-gases",NA
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1993,"Total",3545169.8000000003
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1993,"CO2",1129722.8000000003
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1993,"N2O",219577.30000000002
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1993,"CH4",2195869.7
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1993,"F-gases",NA
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1994,"Total",3475841.6
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1994,"CO2",1074723.7999999998
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1994,"N2O",220133.5
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1994,"CH4",2180984.3000000003
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1994,"F-gases",NA
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1995,"Total",3561625.5999999996
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1995,"CO2",1107706.7999999993
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1995,"N2O",225867.9
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1995,"CH4",2228050.9000000004
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1995,"F-gases",NA
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1996,"Total",3507604.8000000003
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1996,"CO2",1019539.3000000003
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1996,"N2O",220133.6
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1996,"CH4",2267931.9
"MOZ","Mozambique","Energy","Not agri-food","yes","no",1996,"F-gases",NA
