"ISO3","Area","Item","Group","sector","agrifood","Year","tCO2eq_total","tCO2eq_N2O","tCO2eq_CH4","tCO2eq_Fgases"
"MWI","Malawi","Energy","Not agri-food","yes","no",1992,1856191.3,95588.4,1026770.2999999999,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",1993,1892278.1,89910,984191.7999999999,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",1994,1934541.6,91737.2,998970.8,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",1995,1919292.9,91837.7,983641,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",1996,1913671.8,89245.3,962240.1,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",1997,1930796.2,88537.2,969053.2,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",1998,1945165,89950.59999999999,989342,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",1999,2007965.5,95798.1,1064551.2000000002,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",2000,1995439.3,98938.3,1092730.6,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",2001,1889083.3,98312.29999999999,1075300.9,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",2002,2007968.5999999999,99587.5,1104794.4,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",2003,2073456.6,101536,1131583.7,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",2004,2128242,103950.3,1158442.3,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",2005,2136264.8,108391.40000000001,1187739.3,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",2006,2165080.9,109613.8,1207903,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",2007,2228354.9,113093.90000000001,1216324.4,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",2008,2340742.5,115577.9,1230903.8,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",2009,2377182.6,116274.1,1259304.4,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",2010,2364666.7,119606.7,1291049.0999999999,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",2011,2506785.5,126598.8,1330664.2999999998,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",2012,2530015.8000000003,128867.09999999999,1362701,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",2013,2578695.6,127296,1376363.9000000001,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",2014,2447862.8,129826.2,1400706.2000000002,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",2015,2556471.5,130900.59999999999,1412931,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",2016,2705387,133698.5,1434523.3,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",2017,2727830.3000000003,138047.1,1456237.1,NA
"MWI","Malawi","Energy","Not agri-food","yes","no",2018,3241640.8000000003,140703.8,1483362.4,NA
