"ISO3","Area","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"MYS","Malaysia","Energy","Not agri-food","yes","no",1992,"Total",87181360.4
"MYS","Malaysia","Energy","Not agri-food","yes","no",1992,"CO2",67542821
"MYS","Malaysia","Energy","Not agri-food","yes","no",1992,"N2O",297083
"MYS","Malaysia","Energy","Not agri-food","yes","no",1992,"CH4",19341456.4
"MYS","Malaysia","Energy","Not agri-food","yes","no",1992,"F-gases",NA
"MYS","Malaysia","Energy","Not agri-food","yes","no",1993,"Total",99867289.60000001
"MYS","Malaysia","Energy","Not agri-food","yes","no",1993,"CO2",79537207.00000001
"MYS","Malaysia","Energy","Not agri-food","yes","no",1993,"N2O",297416.5
"MYS","Malaysia","Energy","Not agri-food","yes","no",1993,"CH4",20032666.099999998
"MYS","Malaysia","Energy","Not agri-food","yes","no",1993,"F-gases",NA
"MYS","Malaysia","Energy","Not agri-food","yes","no",1994,"Total",104119488.7
"MYS","Malaysia","Energy","Not agri-food","yes","no",1994,"CO2",83243156
"MYS","Malaysia","Energy","Not agri-food","yes","no",1994,"N2O",313423.1
"MYS","Malaysia","Energy","Not agri-food","yes","no",1994,"CH4",20562909.599999998
"MYS","Malaysia","Energy","Not agri-food","yes","no",1994,"F-gases",NA
"MYS","Malaysia","Energy","Not agri-food","yes","no",1995,"Total",127382930.2
"MYS","Malaysia","Energy","Not agri-food","yes","no",1995,"CO2",106174129.9
"MYS","Malaysia","Energy","Not agri-food","yes","no",1995,"N2O",317269.2
"MYS","Malaysia","Energy","Not agri-food","yes","no",1995,"CH4",20891531.1
"MYS","Malaysia","Energy","Not agri-food","yes","no",1995,"F-gases",NA
"MYS","Malaysia","Energy","Not agri-food","yes","no",1996,"Total",130314236.60000001
"MYS","Malaysia","Energy","Not agri-food","yes","no",1996,"CO2",104687510.10000001
"MYS","Malaysia","Energy","Not agri-food","yes","no",1996,"N2O",360133.30000000005
"MYS","Malaysia","Energy","Not agri-food","yes","no",1996,"CH4",25266593.2
"MYS","Malaysia","Energy","Not agri-food","yes","no",1996,"F-gases",NA
"MYS","Malaysia","Energy","Not agri-food","yes","no",1997,"Total",142397790.5
"MYS","Malaysia","Energy","Not agri-food","yes","no",1997,"CO2",112914490
"MYS","Malaysia","Energy","Not agri-food","yes","no",1997,"N2O",414240.9
"MYS","Malaysia","Energy","Not agri-food","yes","no",1997,"CH4",29069059.6
"MYS","Malaysia","Energy","Not agri-food","yes","no",1997,"F-gases",NA
"MYS","Malaysia","Energy","Not agri-food","yes","no",1998,"Total",130664761.6
"MYS","Malaysia","Energy","Not agri-food","yes","no",1998,"CO2",104167650
"MYS","Malaysia","Energy","Not agri-food","yes","no",1998,"N2O",472581
"MYS","Malaysia","Energy","Not agri-food","yes","no",1998,"CH4",26024530.599999998
"MYS","Malaysia","Energy","Not agri-food","yes","no",1998,"F-gases",NA
"MYS","Malaysia","Energy","Not agri-food","yes","no",1999,"Total",125280521.9
"MYS","Malaysia","Energy","Not agri-food","yes","no",1999,"CO2",98227304
"MYS","Malaysia","Energy","Not agri-food","yes","no",1999,"N2O",615453.8
"MYS","Malaysia","Energy","Not agri-food","yes","no",1999,"CH4",26437764.1
"MYS","Malaysia","Energy","Not agri-food","yes","no",1999,"F-gases",NA
"MYS","Malaysia","Energy","Not agri-food","yes","no",2000,"Total",145803638.29999998
"MYS","Malaysia","Energy","Not agri-food","yes","no",2000,"CO2",116149459.99999999
"MYS","Malaysia","Energy","Not agri-food","yes","no",2000,"N2O",490310.7
"MYS","Malaysia","Energy","Not agri-food","yes","no",2000,"CH4",29163867.6
"MYS","Malaysia","Energy","Not agri-food","yes","no",2000,"F-gases",NA
"MYS","Malaysia","Energy","Not agri-food","yes","no",2001,"Total",153810121.60000002
"MYS","Malaysia","Energy","Not agri-food","yes","no",2001,"CO2",124444170.00000003
"MYS","Malaysia","Energy","Not agri-food","yes","no",2001,"N2O",534906
"MYS","Malaysia","Energy","Not agri-food","yes","no",2001,"CH4",28831045.6
"MYS","Malaysia","Energy","Not agri-food","yes","no",2001,"F-gases",NA
"MYS","Malaysia","Energy","Not agri-food","yes","no",2002,"Total",155230725.4
"MYS","Malaysia","Energy","Not agri-food","yes","no",2002,"CO2",125221700
"MYS","Malaysia","Energy","Not agri-food","yes","no",2002,"N2O",567439.8
"MYS","Malaysia","Energy","Not agri-food","yes","no",2002,"CH4",29441585.599999998
"MYS","Malaysia","Energy","Not agri-food","yes","no",2002,"F-gases",NA
"MYS","Malaysia","Energy","Not agri-food","yes","no",2003,"Total",179091542
