"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1992,"Total",75023.4
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1992,"CO2",74704.2
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1992,"N2O",245.9
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1992,"CH4",73.3
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1992,"F-gases",0
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1993,"Total",74978.4
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1993,"CO2",74628.59999999999
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1993,"N2O",280.1
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1993,"CH4",69.7
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1993,"F-gases",0
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1994,"Total",75271.2
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1994,"CO2",74924.2
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1994,"N2O",284.6
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1994,"CH4",62.4
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1994,"F-gases",0
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1995,"Total",75284.40000000001
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1995,"CO2",74939.00000000001
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1995,"N2O",290.2
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1995,"CH4",55.199999999999996
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1995,"F-gases",0
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1996,"Total",75317.40000000001
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1996,"CO2",74903.3
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1996,"N2O",268.2
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1996,"CH4",145.9
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1996,"F-gases",0
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1997,"Total",75912.3
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1997,"CO2",75451.1
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1997,"N2O",302.59999999999997
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1997,"CH4",158.6
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1997,"F-gases",0
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1998,"Total",77082.9
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1998,"CO2",76585.29999999999
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1998,"N2O",335.2
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1998,"CH4",162.39999999999998
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1998,"F-gases",0
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1999,"Total",77553.5
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1999,"CO2",77049.3
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1999,"N2O",368.59999999999997
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1999,"CH4",135.6
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",1999,"F-gases",0
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2000,"Total",77584.3
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2000,"CO2",77187.6
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2000,"N2O",344.2
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2000,"CH4",52.5
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2000,"F-gases",0
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2001,"Total",37925.7
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2001,"CO2",37522.299999999996
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2001,"N2O",350.1
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2001,"CH4",53.3
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2001,"F-gases",0
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2002,"Total",38856.7
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2002,"CO2",38398
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2002,"N2O",404.7
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2002,"CH4",54
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2002,"F-gases",0
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2003,"Total",40002.299999999996
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2003,"CO2",39501.399999999994
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2003,"N2O",439.40000000000003
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2003,"CH4",61.5
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2003,"F-gases",0
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2004,"Total",40622
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2004,"CO2",40109.1
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2004,"N2O",449.2
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2004,"CH4",63.70000000000001
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2004,"F-gases",0
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2005,"Total",43169.1
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2005,"CO2",42502.6
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2005,"N2O",597
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2005,"CH4",69.5
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2005,"F-gases",0
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2006,"Total",44329.9
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2006,"CO2",43592.700000000004
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2006,"N2O",662.2
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2006,"CH4",75
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2006,"F-gases",0
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2007,"Total",45693.2
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2007,"CO2",44938.299999999996
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2007,"N2O",621.4
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2007,"CH4",133.5
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2007,"F-gases",0
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2008,"Total",46867
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2008,"CO2",46058.4
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2008,"N2O",693.2
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2008,"CH4",115.4
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2008,"F-gases",0
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2009,"Total",47517.8
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2009,"CO2",46704.5
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2009,"N2O",673.4
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2009,"CH4",139.9
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2009,"F-gases",0
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2010,"Total",46337.1
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2010,"CO2",45647.1
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2010,"N2O",562.3000000000001
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2010,"CH4",127.7
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2010,"F-gases",0
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2011,"Total",24394
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2011,"CO2",24118.5
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2011,"N2O",221.29999999999998
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2011,"CH4",54.199999999999996
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2011,"F-gases",0
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2012,"Total",24812.4
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2012,"CO2",24528.100000000002
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2012,"N2O",228.4
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2012,"CH4",55.9
"MYT","Mayotte","Eastern Africa",NA,"Agrifood systems","FAO aggregates","no","no",2012,"F-gases",0
