"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"NCL","New Caledonia","Melanesia",NA,"Agrifood systems","FAO aggregates","no","no",1992,"Total",428549.3
"NCL","New Caledonia","Melanesia",NA,"Agrifood systems","FAO aggregates","no","no",1992,"CO2",80634.29999999999
"NCL","New Caledonia","Melanesia",NA,"Agrifood systems","FAO aggregates","no","no",1992,"N2O",90687.2
"NCL","New Caledonia","Melanesia",NA,"Agrifood systems","FAO aggregates","no","no",1992,"CH4",250790.9
"NCL","New Caledonia","Melanesia",NA,"Agrifood systems","FAO aggregates","no","no",1992,"F-gases",6436.9
"NCL","New Caledonia","Melanesia",NA,"Agrifood systems","FAO aggregates","no","no",1993,"Total",414696.6
"NCL","New Caledonia","Melanesia",NA,"Agrifood systems","FAO aggregates","no","no",1993,"CO2",81981.09999999998
"NCL","New Caledonia","Melanesia",NA,"Agrifood systems","FAO aggregates","no","no",1993,"N2O",87327.8
"NCL","New Caledonia","Melanesia",NA,"Agrifood systems","FAO aggregates","no","no",1993,"CH4",241916.2
"NCL","New Caledonia","Melanesia",NA,"Agrifood systems","FAO aggregates","no","no",1993,"F-gases",3471.5
"NCL","New Caledonia","Melanesia",NA,"Agrifood systems","FAO aggregates","no","no",1994,"Total",393080.89999999997
"NCL","New Caledonia","Melanesia",NA,"Agrifood systems","FAO aggregates","no","no",1994,"CO2",88150.49999999994
"NCL","New Caledonia","Melanesia",NA,"Agrifood systems","FAO aggregates","no","no",1994,"N2O",80050.1
"NCL","New Caledonia","Melanesia",NA,"Agrifood systems","FAO aggregates","no","no",1994,"CH4",221134.5
"NCL","New Caledonia","Melanesia",NA,"Agrifood systems","FAO aggregates","no","no",1994,"F-gases",3745.8
"NCL","New Caledonia","Melanesia",NA,"Agrifood systems","FAO aggregates","no","no",1995,"Total",404260.80000000005
"NCL","New Caledonia","Melanesia",NA,"Agrifood systems","FAO aggregates","no","no",1995,"CO2",94217.20000000007
"NCL","New Caledonia","Melanesia",NA,"Agrifood systems","FAO aggregates","no","no",1995,"N2O",81396.3
