"ISO3","Area","Item","Group","sector","agrifood","Year","tCO2eq_total","tCO2eq_N2O","tCO2eq_CH4","tCO2eq_Fgases"
"NGA","Nigeria","Energy","Not agri-food","yes","no",1992,267454086.20000002,2794261.1999999997,168022064,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",1993,270109296.8,2833765.6,172989359.20000002,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",1994,289945054.1,2869463.6999999997,200195402.4,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",1995,308257150.5,2983192.5,221286520,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",1996,352352543.9,3112349.7,261101859.20000002,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",1997,326303661.90000004,3175982.9,238611044,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",1998,297261833.09999996,3167905.6999999997,216261466.4,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",1999,283680224,3266091.6,204693308.4,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2000,311540863.4,3377401.4000000004,229535348,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2001,314426254.1,3485651.3,229004428.79999998,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2002,278051119.5,3552674.3000000003,187667925.2,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2003,306749044.6,3691478.6,212226084,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2004,305763513.8,3775272.4,206071846.4,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2005,306191847.20000005,3842672,197550945.2,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2006,282861113.3,3904340.1,181387091.2,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2007,267443187.4,4011692.2,169928105.2,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2008,257819930.1,4153497.9000000004,164219801.2,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2009,233844582.8,4233848.600000001,155805269.20000002,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2010,279685511.79999995,4458706.600000001,163717005.20000002,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2011,302086932.6,4630305,171753377.6,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2012,289814732.1,4828218.1,174112624,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2013,276364869.9,4990998.3,161637691.6,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2014,285657640.59999996,5013871.8,164432718.8,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2015,269043382.3,5052321.5,162144880.8,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2016,263623597.3,5251564.1,148562033.20000002,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2017,263383501.89999998,5338110.7,151709401.2,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2018,258236582,5438664.399999999,155086335.6,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2019,286013422.4,5568049.600000001,160840962.8,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2020,259490506.9,5555293.3,139469783.6,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2021,273899961.4,5624754.600000001,130301866.8,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2022,268275924.50000003,5642750.5,125935684,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2030,NA,NA,NA,NA
"NGA","Nigeria","Energy","Not agri-food","yes","no",2050,NA,NA,NA,NA
"NGA","Nigeria","IPPU","Not agri-food","yes","no",1992,2791590.5,292.1,20.2,159235.4
"NGA","Nigeria","IPPU","Not agri-food","yes","no",1993,2601935.8000000003,299.59999999999997,20.2,139819.6
"NGA","Nigeria","IPPU","Not agri-food","yes","no",1994,1969353.5,307.09999999999997,20.2,165672.69999999998
"NGA","Nigeria","IPPU","Not agri-food","yes","no",1995,1961410.8,314.90000000000003,20.2,207762.2
"NGA","Nigeria","IPPU","Not agri-food","yes","no",1996,2077511.3,322.79999999999995,20.2,326394.4
"NGA","Nigeria","IPPU","Not agri-food","yes","no",1997,2131526.6,330.90000000000003,20.2,440101.9
"NGA","Nigeria","IPPU","Not agri-food","yes","no",1998,2813017,339.3,1406.1999999999998,618420
"NGA","Nigeria","IPPU","Not agri-food","yes","no",1999,2919712.3000000003,347.8,1480.3999999999999,872082.8
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2000,3241244.9000000004,356.70000000000005,7175,1494190.5
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2001,4557612.8,365.70000000000005,7265.7,2000451.6
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2002,4995163.5,375.09999999999997,7375.8,2488877.9
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2003,5755081.4,384.7,15868.2,3045585.5
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2004,6339040.9,394.7,15960.599999999999,3613371.2
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2005,6299258.600000001,405,16053,4291172.6
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2006,6814954.6,415.7,16145.399999999998,4531553.2
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2007,7469423.399999999,426.8,16237.8,4641554.699999999
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2008,9769033,438.3,16330.2,4832635.6
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2009,9930100.399999999,450.1,16422.6,5003338
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2010,9942057.9,462.3,16515,4999160.5
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2011,10761789.7,474.8,16607.399999999998,5050965.3
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2012,12849116.4,487.70000000000005,16699.8,5163264.4
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2013,14506123.9,500.90000000000003,16792.2,5310383.399999999
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2014,14980132.4,514.4,19592.199999999997,5766650
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2015,16075305.3,528.1,19592.199999999997,6339218.5
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2016,17628475.4,542.2,19592.199999999997,7177776.1
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2017,18167684.2,556.4,19592.199999999997,8005163.6
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2018,20194153.099999998,571,20712.2,9013184
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2019,21344683.6,585.8,21272.2,9905171.6
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2020,23455321,600.9,21847,10814606
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2021,26156710.299999997,616.4,22557.9,11814050
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2022,27050410.5,632.1,23027.4,12736380
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2030,NA,NA,NA,NA
"NGA","Nigeria","IPPU","Not agri-food","yes","no",2050,NA,NA,NA,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",1992,17188958.6,894156.3999999999,16294802.2,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",1993,17684218.3,931593.2000000001,16752625.100000001,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",1994,18175818.9,990524.1,17185294.8,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",1995,18701043.900000002,1033683.3999999999,17667360.5,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",1996,19295528.2,1081351.5,18214176.7,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",1997,19900777.6,1124723.5,18776054.1,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",1998,20555632.8,1153199.4,19402433.400000002,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",1999,21154123,1182463.9,19971659.1,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2000,21832686,1186924.4000000001,20571761.6,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2001,22667758.4,1217103.8,21374654.6,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2002,23609576.9,1254641.5999999999,22276935.2,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2003,24513590.1,1302330.0999999999,23131260,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2004,25494748.9,1367792.8,24044956,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2005,26410472.5,1433815.5999999999,24892656.900000002,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2006,27427354.5,1502749.8,25838604.7,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2007,28488580.5,1550169.5,26850411,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2008,29613822.5,1601836.4,27921986.099999998,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2009,30800238.099999998,1626962.0999999999,29081276,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2010,32042813.900000002,1652399.1,30295414.799999997,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2011,33255279.3,1661780.0999999999,31498499.2,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2012,34547876.4,1687288.8,32761587.599999998,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2013,35920074.3,1732996.7,34085077.599999994,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2014,37348451.3,1770858.9,35472592.4,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2015,38703088.8,1818236,36774852.8,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2016,39871701.1,1857153.9,37902547.2,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2017,41181951.699999996,1915619.7,39151252,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2018,42444432.9,1942755.7,40382913.2,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2019,43685359.900000006,1976405.9,41586874,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2020,45001622.6,2044691,42831535.6,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2021,46287132.400000006,2089982,44068438.4,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2022,47587519.4,2136276.1999999997,45319215.199999996,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2030,NA,NA,NA,NA
"NGA","Nigeria","Waste","Not agri-food","yes","no",2050,NA,NA,NA,NA
"NGA","Nigeria","Agrifood systems","FAO aggregates","no","no",1992,117797652.7,15842944.7,53257720.6,96300
"NGA","Nigeria","Agrifood systems","FAO aggregates","no","no",1993,118738835.1,16357767.6,53964564.7,70290
"NGA","Nigeria","Agrifood systems","FAO aggregates","no","no",1994,119746761.6,16600702.9,55204138.8,48060
"NGA","Nigeria","Agrifood systems","FAO aggregates","no","no",1995,121118853.5,16677112.5,56295573.5,28710
"NGA","Nigeria","Agrifood systems","FAO aggregates","no","no",1996,131428225.39999999,19086472.900000002,63348622.300000004,54450
"NGA","Nigeria","Agrifood systems","FAO aggregates","no","no",1997,134215860.4,19340405.2,64335744,80550
"NGA","Nigeria","Agrifood systems","FAO aggregates","no","no",1998,137918092.5,20948232.5,67029725.00000001,126900
