"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1992,"Total",3742250
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1992,"CO2",1140000
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1992,"N2O",426650
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1992,"CH4",2175600
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1992,"F-gases",0
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1993,"Total",3944850
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1993,"CO2",1290000
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1993,"N2O",437250
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1993,"CH4",2217600
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1993,"F-gases",0
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1994,"Total",4211150
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1994,"CO2",1490000
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1994,"N2O",453150
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1994,"CH4",2268000
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1994,"F-gases",0
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1995,"Total",4964650
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1995,"CO2",2180000
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1995,"N2O",469050
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1995,"CH4",2315600
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1995,"F-gases",0
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1996,"Total",5075650
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1996,"CO2",2230000
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1996,"N2O",479650
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1996,"CH4",2366000
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1996,"F-gases",0
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1997,"Total",5461950
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1997,"CO2",2550000
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1997,"N2O",495550
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1997,"CH4",2416400
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1997,"F-gases",0
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1998,"Total",5085750
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1998,"CO2",2110000
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1998,"N2O",506150
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1998,"CH4",2469600
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1998,"F-gases",0
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1999,"Total",6122350
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1999,"CO2",3080000
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1999,"N2O",516750
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1999,"CH4",2525600
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",1999,"F-gases",0
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2000,"Total",6080550
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2000,"CO2",2920000
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2000,"N2O",506150
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2000,"CH4",2654400
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2000,"F-gases",0
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2001,"Total",6358650
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2001,"CO2",3120000
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2001,"N2O",511450
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2001,"CH4",2727200
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2001,"F-gases",0
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2002,"Total",5830050
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2002,"CO2",2480000
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2002,"N2O",522049.99999999994
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2002,"CH4",2828000
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2002,"F-gases",0
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2003,"Total",6116650
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2003,"CO2",2700000
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2003,"N2O",532650
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2003,"CH4",2884000
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2003,"F-gases",0
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2004,"Total",5955900
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2004,"CO2",2470000
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2004,"N2O",545900
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2004,"CH4",2940000
"NPL","Nepal","Southern Asia",NA,"Energy","Not agri-food","yes","no",2004,"F-gases",0
