"ISO3","Area","Item","Group","sector","agrifood","Year","Total","CO2","N2O","CH4","F-gases"
"NZL","New Zealand","Energy","Not agri-food","yes","no",1992,26567931.9,24999347,200043,1368541.9,NA
"NZL","New Zealand","Energy","Not agri-food","yes","no",1993,28263414.700000003,26541324.900000002,210706.4,1511383.4,NA
"NZL","New Zealand","Energy","Not agri-food","yes","no",1994,28251322.5,26501201.9,220033.80000000002,1530086.8,NA
"NZL","New Zealand","Energy","Not agri-food","yes","no",1995,28526806.7,26929635,230600.8,1366570.9,NA
"NZL","New Zealand","Energy","Not agri-food","yes","no",1996,30238387.599999998,28496665.9,232468.19999999998,1509253.5,NA
"NZL","New Zealand","Energy","Not agri-food","yes","no",1997,32727119.4,30792004.9,242072.9,1693041.6,NA
"NZL","New Zealand","Energy","Not agri-food","yes","no",1998,31679820.1,29890989,237481.59999999998,1551349.5,NA
"NZL","New Zealand","Energy","Not agri-food","yes","no",1999,34262411,32465234,250670.80000000002,1546506.2,NA
"NZL","New Zealand","Energy","Not agri-food","yes","no",2000,34616466.3,32820349.099999998,264725,1531392.2,NA
"NZL","New Zealand","Energy","Not agri-food","yes","no",2001,36040553.4,34140624.1,272471.7,1627457.5999999999,NA
"NZL","New Zealand","Energy","Not agri-food","yes","no",2002,34910122.6,33046829,286363.1,1576930.5,NA
"NZL","New Zealand","Energy","Not agri-food","yes","no",2003,35604275.199999996,33828815.99999999,301834,1473625.2,NA
"NZL","New Zealand","Energy","Not agri-food","yes","no",2004,36158899.599999994,34319096.99999999,312026.2,1527776.4,NA
"NZL","New Zealand","Energy","Not agri-food","yes","no",2005,35861903.7,33888383,319683,1653837.7,NA
"NZL","New Zealand","Energy","Not agri-food","yes","no",2006,35490519.4,33216215.9,322983.2,1951320.3,NA
"NZL","New Zealand","Energy","Not agri-food","yes","no",2007,35490250.099999994,33283158.999999993,319269.1,1887822,NA
"NZL","New Zealand","Energy","Not agri-food","yes","no",2008,35807927,33899827,313009,1595091,NA
"NZL","New Zealand","Energy","Not agri-food","yes","no",2009,34168075.4,32248217,285896.4,1633962,NA
"NZL","New Zealand","Energy","Not agri-food","yes","no",2010,33875751.4,31658491,280409.60000000003,1936850.8,NA
"NZL","New Zealand","Energy","Not agri-food","yes","no",2011,33559742.2,31351178.000000004,288981.3,1919582.9000000001,NA
"NZL","New Zealand","Energy","Not agri-food","yes","no",2012,36268732.1,34230627,300825.5,1737279.6,NA
"NZL","New Zealand","Energy","Not agri-food","yes","no",2013,35562775.4,33733552.9,298719.4,1530503.0999999999,NA
