"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"PAK","Pakistan","Southern Asia",NA,"Energy","Not agri-food","yes","no",1992,"Total",86991650
"PAK","Pakistan","Southern Asia",NA,"Energy","Not agri-food","yes","no",1992,"CO2",70400000
"PAK","Pakistan","Southern Asia",NA,"Energy","Not agri-food","yes","no",1992,"N2O",1751650
"PAK","Pakistan","Southern Asia",NA,"Energy","Not agri-food","yes","no",1992,"CH4",14840000
"PAK","Pakistan","Southern Asia",NA,"Energy","Not agri-food","yes","no",1992,"F-gases",0
"PAK","Pakistan","Southern Asia",NA,"Energy","Not agri-food","yes","no",1993,"Total",93179000
"PAK","Pakistan","Southern Asia",NA,"Energy","Not agri-food","yes","no",1993,"CO2",76400000
"PAK","Pakistan","Southern Asia",NA,"Energy","Not agri-food","yes","no",1993,"N2O",1855000
"PAK","Pakistan","Southern Asia",NA,"Energy","Not agri-food","yes","no",1993,"CH4",14924000
"PAK","Pakistan","Southern Asia",NA,"Energy","Not agri-food","yes","no",1993,"F-gases",0
"PAK","Pakistan","Southern Asia",NA,"Energy","Not agri-food","yes","no",1994,"Total",100193250
"PAK","Pakistan","Southern Asia",NA,"Energy","Not agri-food","yes","no",1994,"CO2",82900000
"PAK","Pakistan","Southern Asia",NA,"Energy","Not agri-food","yes","no",1994,"N2O",1921250
"PAK","Pakistan","Southern Asia",NA,"Energy","Not agri-food","yes","no",1994,"CH4",15372000
"PAK","Pakistan","Southern Asia",NA,"Energy","Not agri-food","yes","no",1994,"F-gases",0
"PAK","Pakistan","Southern Asia",NA,"Energy","Not agri-food","yes","no",1995,"Total",100272300
"PAK","Pakistan","Southern Asia",NA,"Energy","Not agri-food","yes","no",1995,"CO2",82100000
"PAK","Pakistan","Southern Asia",NA,"Energy","Not agri-food","yes","no",1995,"N2O",2072300.0000000002
"PAK","Pakistan","Southern Asia",NA,"Energy","Not agri-food","yes","no",1995,"CH4",16100000
