"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1992,"Total",24473820
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1992,"CO2",20600000
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1992,"N2O",261820
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1992,"CH4",3612000
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1992,"F-gases",0
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1993,"Total",26835600
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1993,"CO2",23200000
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1993,"N2O",275600
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1993,"CH4",3360000
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1993,"F-gases",0
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1994,"Total",26426150
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1994,"CO2",22800000
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1994,"N2O",294150
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1994,"CH4",3332000
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1994,"F-gases",0
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1995,"Total",27276650
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1995,"CO2",23400000
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1995,"N2O",320650
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1995,"CH4",3556000
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1995,"F-gases",0
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1996,"Total",26856500
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1996,"CO2",22900000
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1996,"N2O",344500
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1996,"CH4",3612000
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1996,"F-gases",0
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1997,"Total",29924450
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1997,"CO2",26100000
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1997,"N2O",352450
"PER","Peru","South America",NA,"Energy","Not agri-food","yes","no",1997,"CH4",3472000
