"ISO3","Area","Item","Group","sector","agrifood","Year","Total","CO2","N2O","CH4","F-gases"
"QAT","Qatar","Energy","Not agri-food","yes","no",1992,38726655.2,27388909.000000004,28251.6,11309494.6,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",1993,42387828.1,31145398,29356.6,11213073.5,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",1994,42027092.900000006,30662958.000000004,33315.8,11330819.100000001,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",1995,42221513.8,31518728.999999996,38826.3,10663958.5,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",1996,46235468.5,32011195,49412.700000000004,14174860.8,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",1997,63528038.1,37710892,70379.7,25746766.400000002,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",1998,58189791.9,32355247.999999996,74398.6,25760145.3,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",1999,61183813.5,31321651.999999996,77979.1,29784182.400000002,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2000,68598833.8,34510427.99999999,60742.2,34027663.6,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2001,71505374.6,40876668.99999999,59884.799999999996,30568820.8,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2002,71265458.89999999,40249759.99999999,67864.5,30947834.4,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2003,83060753.80000001,48122139.000000015,72958.8,34865656,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2004,85600549.7,49347908,76602.5,36176039.2,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2005,84621356.3,49984429,85025.3,34551902,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2006,98102896.5,60903073,96071.5,37103752,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2007,102277454.3,60296976,113259.90000000001,41867218.4,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2008,110452225.8,63108638.99999999,126565.20000000001,47217021.6,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2009,117807897.7,67357241,134009.9,50316646.800000004,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2010,130403454,70656450,159940.8,59587063.199999996,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2011,148257564.4,77964067,165971.4,70127526,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2012,165188582.8,90482854.00000003,150971.6,74554757.19999999,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2013,160380002.79999998,82978077.99999999,180464.40000000002,77221460.39999999,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2014,166774052.8,90317986.00000001,204462,76251604.8,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2015,167280495.5,89703862,215674.3,77360959.2,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2016,164534123.4,86201391,216991.19999999998,78115741.2,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2017,176317496.4,98811574,223447.2,77282475.2,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2018,171720015.1,94377332,201358.7,77141324.39999999,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2019,178637283.7,101235259.99999999,204632.1,77197391.60000001,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2020,178744977.60000002,102038140.00000003,208270,76498567.6,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2021,187718396.5,109800650,228450.9,77689295.6,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2022,190856842.5,112159730,252497.3,78444615.2,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2030,NA,NA,NA,NA,NA
"QAT","Qatar","Energy","Not agri-food","yes","no",2050,NA,NA,NA,NA,NA
"QAT","Qatar","IPPU","Not agri-food","yes","no",1992,2211003.1,2179544.8000000003,19735.5,3074.1,8648.7
"QAT","Qatar","IPPU","Not agri-food","yes","no",1993,1988190.8,1952326,19976.4,3248.8,12639.6
"QAT","Qatar","IPPU","Not agri-food","yes","no",1994,2296678.6999999997,2246389.0999999996,20196.6,3300.5,26792.5
"QAT","Qatar","IPPU","Not agri-food","yes","no",1995,2177354.6,2109747.9,20449.899999999998,2712.9,44443.9
"QAT","Qatar","IPPU","Not agri-food","yes","no",1996,2296563.7,2204378.2,20802.3,2909.7,68473.5
"QAT","Qatar","IPPU","Not agri-food","yes","no",1997,3200149.8000000003,3080702.3000000003,21292.4,4492.5,93662.59999999999
"QAT","Qatar","IPPU","Not agri-food","yes","no",1998,4339370.399999999,4137237.6999999993,21922.5,53538.7,126671.5
"QAT","Qatar","IPPU","Not agri-food","yes","no",1999,4407035.899999999,4147222.9999999995,22679.9,53432.4,183700.6
"QAT","Qatar","IPPU","Not agri-food","yes","no",2000,4397943.199999999,3989995.3999999994,23588.8,52758.8,331600.19999999995
"QAT","Qatar","IPPU","Not agri-food","yes","no",2001,5078213.800000001,4536550.600000001,24569.3,63657.200000000004,453436.69999999995
"QAT","Qatar","IPPU","Not agri-food","yes","no",2002,5103848.8,4453069.8,25715.3,54700.899999999994,570362.8
"QAT","Qatar","IPPU","Not agri-food","yes","no",2003,5279789.1,4493624.6,27425,54711.9,704027.6
"QAT","Qatar","IPPU","Not agri-food","yes","no",2004,5860887.800000001,4932152.500000001,30223.7,59373.2,839138.4
"QAT","Qatar","IPPU","Not agri-food","yes","no",2005,6544803.8,5444435,34445.799999999996,64104.5,1001818.5
"QAT","Qatar","IPPU","Not agri-food","yes","no",2006,6744089,5583824.3,40241.4,63101.700000000004,1056921.5999999999
"QAT","Qatar","IPPU","Not agri-food","yes","no",2007,7147789.300000001,5954768.200000001,47380.6,66126.90000000001,1079513.6
"QAT","Qatar","IPPU","Not agri-food","yes","no",2008,8823440.8,7573953.300000001,55334.6,71622.8,1122530.0999999999
"QAT","Qatar","IPPU","Not agri-food","yes","no",2009,9365743.5,8069057.5,63357.6,73013.2,1160315.2
"QAT","Qatar","IPPU","Not agri-food","yes","no",2010,10416795.4,9095498.8,70881.1,68888.7,1181526.8
