"ISO3","Area","Item","Group","sector","agrifood","Year","tCO2eq_total","tCO2eq_N2O","tCO2eq_CH4","tCO2eq_Fgases"
"RWA","Rwanda","Energy","Not agri-food","yes","no",1992,3147134.2,92090.5,2604039.5,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",1993,2980180.1999999997,89720.29999999999,2435789.1,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",1994,3171301.1,84711.7,2631918.6,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",1995,3390138.6,130546.09999999999,2812255,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",1996,3487682.9,138190.40000000002,2905821.8000000003,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",1997,3935842.3,168992.7,3312178.8000000003,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",1998,2169156.4,137217.7,1573601.2,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",1999,2260220.6999999997,142648.5,1637234.5,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2000,1886229.8,99600.3,1298958.4,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2001,1882603.7,99613.9,1298985.4000000001,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2002,1880141.5999999999,100347.2,1299456.7,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2003,1867717.7999999998,99574,1298806.2,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2004,1875021.8,99550.6,1298800.2,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2005,1758090.5,88222.3,1193197.2,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2006,1774740.6,90354.20000000001,1207715.4000000001,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2007,1816115.1,91783.3,1221993.8,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2008,1822068.8,93942.9,1236788.1,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2009,1886810.7,98035.79999999999,1264436.8,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2010,1957953.2999999998,100420.3,1307527.9000000001,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2011,2071897.5,103995.5,1351896.4000000001,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2012,2202990.8,107600.5,1406050.7,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2013,2310253.3,110256.1,1451990.4,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2014,2387234.8000000003,111686.2,1487208.2,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2015,2539995.1999999997,113383.6,1524603.4,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2016,2626875.5999999996,114601.4,1569932.3,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2017,2708061.2,117258.1,1564127.0999999999,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2018,2920386.1999999997,120218.7,1641490.3,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2019,3031984.1,124103.8,1686869.2000000002,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2020,3079026.9,128099.70000000001,1740916.2,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2021,3184192.9,128818.29999999999,1742012.3,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2022,3134314.3,129061.90000000001,1744047.7000000002,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2030,NA,NA,NA,NA
"RWA","Rwanda","Energy","Not agri-food","yes","no",2050,NA,NA,NA,NA
"RWA","Rwanda","IPPU","Not agri-food","yes","no",1992,41751.5,19.5,NA,1794.5
"RWA","Rwanda","IPPU","Not agri-food","yes","no",1993,40767.200000000004,18.4,NA,2066.3999999999996
"RWA","Rwanda","IPPU","Not agri-food","yes","no",1994,19712.9,17.5,NA,2393.3
"RWA","Rwanda","IPPU","Not agri-food","yes","no",1995,19864.7,17.3,NA,2759.9
"RWA","Rwanda","IPPU","Not agri-food","yes","no",1996,33431.7,17.8,NA,3150.9
"RWA","Rwanda","IPPU","Not agri-food","yes","no",1997,42481.8,19,NA,3550.9
"RWA","Rwanda","IPPU","Not agri-food","yes","no",1998,43013.399999999994,20.6,NA,3944.7000000000003
"RWA","Rwanda","IPPU","Not agri-food","yes","no",1999,47236.8,22.1,NA,4316.9000000000005
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2000,50496.200000000004,23.400000000000002,NA,4652.3
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2001,58931.2,24.299999999999997,NA,4983.3
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2002,63318.9,24.9,NA,5345.799999999999
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2003,65283.7,25.3,NA,5730.299999999999
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2004,65310.50000000001,25.7,NA,6126.8
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2005,64565.700000000004,26.200000000000003,NA,6525.7
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2006,67672.3,26.8,NA,6907.2
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2007,67736.59999999999,27.5,NA,7520.6
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2008,68862.2,28.299999999999997,NA,7944
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2009,63977.3,29.1,NA,8392.099999999999
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2010,65576,29.9,NA,8800.2
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2011,65695,30.700000000000003,NA,8488.9
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2012,64607.5,31.4,NA,8727.2
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2013,67355.3,32.300000000000004,NA,9096.3
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2014,75506.4,33.099999999999994,NA,9431.699999999999
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2015,103983.8,33.9,NA,10273.4
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2016,145638.9,34.7,NA,10208.5
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2017,169231.69999999998,35.6,NA,10693.300000000001
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2018,176072.30000000002,36.4,NA,12692.9
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2019,197614.9,37.3,NA,12742.6
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2020,212639.5,38.1,NA,13436.9
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2021,273857.1,39,NA,14131.1
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2022,275273.7,39.800000000000004,NA,14825.300000000001
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2030,NA,NA,NA,NA
"RWA","Rwanda","IPPU","Not agri-food","yes","no",2050,NA,NA,NA,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",1992,953654.9,49537.799999999996,904117.1000000001,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",1993,900857.2000000001,45312.399999999994,855544.7000000001,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",1994,850789,42120.5,808668.4,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",1995,849105.9,39558,809547.9,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",1996,886696.1,39884.3,846811.7999999999,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",1997,952313.9,41351.3,910962.6,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",1998,1036061.7999999999,45969,990092.8,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",1999,1120308.2999999998,52015.4,1068292.9,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",2000,1195782.4000000001,60405.9,1135376.5,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",2001,1252741.2999999998,62691.8,1190049.5,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",2002,1301050.8,66104.29999999999,1234946.5,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",2003,1325417.3,68236.90000000001,1257180.5,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",2004,1349247.9000000001,69764.9,1279483,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",2005,1381157.5,72790.2,1308367.2999999998,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",2006,1425756.1,76993.2,1347108.6,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",2007,1471660.7,81693.4,1388166.0999999999,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",2008,1523653.3,86708.7,1435042,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",2009,1576082.5,94120.2,1479952.4,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",2010,1628927.9,100088.7,1526731.5,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",2011,1680506.2,105005.70000000001,1573467.3,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",2012,1730850.6,106466.5,1622293.9,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",2013,1780371.9000000001,109193.1,1669000.2,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",2014,1833103,111958.20000000001,1718885.9,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",2015,1889653.4,115346.2,1771846.7,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",2016,1941960,118999,1820516,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",2017,1994993,122516.3,1869915.6,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",2018,2049710.9000000001,123990.6,1922680.3,NA
"RWA","Rwanda","Waste","Not agri-food","yes","no",2019,2103347.4,126899.2,1973396.2,NA
