"ISO3","Area","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1992,"Total",386125589.5
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1992,"CO2",333169790
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1992,"N2O",618739.9
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1992,"CH4",52337059.6
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1992,"F-gases",NA
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1993,"Total",409687317.5
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1993,"CO2",356899980
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1993,"N2O",666331.5
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1993,"CH4",52121006
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1993,"F-gases",NA
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1994,"Total",378831091.9
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1994,"CO2",325947040
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1994,"N2O",807327.9
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1994,"CH4",52076724
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1994,"F-gases",NA
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1995,"Total",307923594.09999996
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1995,"CO2",256635509.99999994
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1995,"N2O",854769.7
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1995,"CH4",50433314.400000006
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1995,"F-gases",NA
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1996,"Total",304796717.1
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1996,"CO2",250715870.00000003
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1996,"N2O",1028404.2999999999
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1996,"CH4",53052442.8
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1996,"F-gases",NA
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1997,"Total",265224325.3
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1997,"CO2",208733860
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1997,"N2O",1215738.1
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1997,"CH4",55274727.2
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1997,"F-gases",NA
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1998,"Total",257297332.7
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1998,"CO2",201934410
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1998,"N2O",1295068.2999999998
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1998,"CH4",54067854.4
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1998,"F-gases",NA
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1999,"Total",270233733.7
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1999,"CO2",218482040
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1999,"N2O",1350968.5
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1999,"CH4",50400725.2
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",1999,"F-gases",NA
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",2000,"Total",344782429.1
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",2000,"CO2",288058170
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",2000,"N2O",933598.3
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",2000,"CH4",55790660.8
"SAU","Saudi Arabia","Energy","Not agri-food","yes","no",2000,"F-gases",NA
