"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"Total",48157595
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"CO2",47600000
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"N2O",106795
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"CH4",450800
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"F-gases",0
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"Total",50403720
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"CO2",49800000
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"N2O",108120
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"CH4",495600
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"F-gases",0
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"Total",60844210
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"CO2",60200000
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"N2O",115010
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"CH4",529200
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"F-gases",0
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1995,"Total",41315830
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1995,"CO2",40700000
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1995,"N2O",111830
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1995,"CH4",504000
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1995,"F-gases",0
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1996,"Total",48740120
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1996,"CO2",48100000
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1996,"N2O",108120
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1996,"CH4",532000
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1996,"F-gases",0
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1997,"Total",57535995
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1997,"CO2",56900000
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1997,"N2O",106795
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1997,"CH4",529200
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1997,"F-gases",0
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1998,"Total",48114735
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1998,"CO2",47500000
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1998,"N2O",116335
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1998,"CH4",498400
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1998,"F-gases",0
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1999,"Total",49866155
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1999,"CO2",49300000
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1999,"N2O",123755
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1999,"CH4",442400
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1999,"F-gases",0
"SGP","Singapore","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",2000,"Total",49136635
