"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1992,"Total",170264.80000000002
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1992,"CO2",161334.80000000002
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1992,"N2O",2198.7999999999997
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1992,"CH4",6731.200000000001
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1992,"F-gases",0
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1993,"Total",181332.1
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1993,"CO2",172334.9
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1993,"N2O",2196.6
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1993,"CH4",6800.6
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1993,"F-gases",0
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1994,"Total",192592.09999999998
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1994,"CO2",183334.89999999997
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1994,"N2O",2342
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1994,"CH4",6915.2
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1994,"F-gases",0
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1995,"Total",204399.1
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1995,"CO2",190668.4
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1995,"N2O",2913.8
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1995,"CH4",10816.9
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1995,"F-gases",0
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1996,"Total",213662.5
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1996,"CO2",198001.8
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1996,"N2O",3287.9
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1996,"CH4",12372.8
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1996,"F-gases",0
"SLB","Solomon Islands","Melanesia",NA,"Energy","Not agri-food","yes","no",1997,"Total",221405.8
