"ISO3","Area","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1992,"Total",1101958.5
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1992,"CO2",284318.6000000001
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1992,"N2O",75232.29999999999
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1992,"CH4",742407.6
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1992,"F-gases",NA
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1993,"Total",1070362.1
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1993,"CO2",267313.6000000001
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1993,"N2O",72972.5
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1993,"CH4",730076
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1993,"F-gases",NA
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1994,"Total",1063807.7
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1994,"CO2",279842.59999999986
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1994,"N2O",70645.9
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1994,"CH4",713319.2000000001
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1994,"F-gases",NA
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1995,"Total",1079445.3
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1995,"CO2",230157.90000000002
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1995,"N2O",76514.3
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1995,"CH4",772773.1
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1995,"F-gases",NA
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1996,"Total",1082088.5
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1996,"CO2",239180.19999999995
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1996,"N2O",74912.3
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1996,"CH4",767996
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1996,"F-gases",NA
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1997,"Total",1122120.3
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1997,"CO2",215162.20000000007
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1997,"N2O",78765.6
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1997,"CH4",828192.5
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1997,"F-gases",NA
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1998,"Total",1170724.8
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1998,"CO2",231357.59999999998
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1998,"N2O",80693.9
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1998,"CH4",858673.3
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1998,"F-gases",NA
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1999,"Total",1224945.6
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1999,"CO2",188685.7000000002
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1999,"N2O",88526.2
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1999,"CH4",947733.7
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",1999,"F-gases",NA
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2000,"Total",1360327.2999999998
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2000,"CO2",285067.8999999999
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2000,"N2O",89519
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2000,"CH4",985740.4
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2000,"F-gases",NA
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2001,"Total",1454405.2999999998
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2001,"CO2",384756.49999999977
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2001,"N2O",89215.1
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2001,"CH4",980433.7000000001
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2001,"F-gases",NA
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2002,"Total",1586314.3
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2002,"CO2",502337.8999999999
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2002,"N2O",89586.20000000001
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2002,"CH4",994390.2000000001
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2002,"F-gases",NA
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2003,"Total",1639314.1
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2003,"CO2",535338.8
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2003,"N2O",90947.3
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2003,"CH4",1013028
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2003,"F-gases",NA
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2004,"Total",1656605.7000000002
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2004,"CO2",520671.50000000023
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2004,"N2O",93173.90000000001
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2004,"CH4",1042760.2999999999
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2004,"F-gases",NA
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2005,"Total",1592885.2
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2005,"CO2",425337.5
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2005,"N2O",95546.5
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2005,"CH4",1072001.2
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2005,"F-gases",NA
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2006,"Total",1759276.2
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2006,"CO2",579342.2
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2006,"N2O",96734.5
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2006,"CH4",1083199.5
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2006,"F-gases",NA
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2007,"Total",1675179.5999999999
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2007,"CO2",487674.2999999998
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2007,"N2O",97854.29999999999
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2007,"CH4",1089651
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2007,"F-gases",NA
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2008,"Total",1703468.7
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2008,"CO2",506008.7000000002
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2008,"N2O",98218.7
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2008,"CH4",1099241.2999999998
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2008,"F-gases",NA
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2009,"Total",1724123
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2009,"CO2",502343.40000000014
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2009,"N2O",99739.5
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2009,"CH4",1122040.0999999999
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2009,"F-gases",NA
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2010,"Total",1789134.9
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2010,"CO2",542678.2
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2010,"N2O",101287.2
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2010,"CH4",1145169.5
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2010,"F-gases",NA
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2011,"Total",1982246.5999999999
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2011,"CO2",711347.4999999998
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2011,"N2O",103696.29999999999
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2011,"CH4",1167202.8
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2011,"F-gases",NA
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2012,"Total",2134648.9000000004
"SLE","Sierra Leone","Energy","Not agri-food","yes","no",2012,"CO2",832349.7000000004
