"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1992,"Total",3644120
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1992,"CO2",3140000
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1992,"N2O",86920
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1992,"CH4",417200
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1992,"F-gases",0
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1993,"Total",4121310.0000000005
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1993,"CO2",3610000.0000000005
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1993,"N2O",88510
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1993,"CH4",422800
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1993,"F-gases",0
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1994,"Total",4665170
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1994,"CO2",4150000
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1994,"N2O",89570
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1994,"CH4",425600
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1994,"F-gases",0
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1995,"Total",5144595
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1995,"CO2",4620000
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1995,"N2O",96195
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1995,"CH4",428400
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1995,"F-gases",0
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1996,"Total",4538455
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1996,"CO2",4010000
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1996,"N2O",97255
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1996,"CH4",431200
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1996,"F-gases",0
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1997,"Total",5517615
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1997,"CO2",4980000
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1997,"N2O",103615
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1997,"CH4",434000
"SLV","El Salvador","Central America",NA,"Energy","Not agri-food","yes","no",1997,"F-gases",0
