"ISO3","Area","Item","Group","sector","agrifood","Year","tCO2eq_total","tCO2eq_N2O","tCO2eq_CH4","tCO2eq_Fgases"
"SWE","Sweden","Energy","Not agri-food","yes","no",1992,52468722.1,920592.3,868299.8,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",1993,53308797,918902.7,870243.2999999999,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",1994,56632382.3,942951.9,864410.5,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",1995,56891620.199999996,968445,895606.2,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",1996,57822279.199999996,1064366.2999999998,912168.9,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",1997,54083400.300000004,987170.6000000001,896675.7,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",1998,55079976.199999996,1008883,877143.2999999999,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",1999,53056363.5,942186.1,804786.3999999999,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",2000,51176615.599999994,949842.6,841621,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",2001,53312746.9,925926,781211.9,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",2002,59313109.4,1000049.3,769304.2000000001,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",2003,56175944.6,1015276.8999999999,790298.7000000001,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",2004,55718047.5,1007154.5,802472,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",2005,52217937.7,981645.4,737124.4,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",2006,52157773.6,962408.2,723934.4,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",2007,50036845.1,972069,735866.1,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",2008,51109991,989247.4,754764.6,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",2009,45162417,985120.1,747300.8999999999,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",2010,54381136.1,1043568.8,800631.3,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",2011,53231254,964464,965393,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",2012,48450346.599999994,961019.2,1006198.4,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",2013,45866138.400000006,955871.1,926679.3,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",2014,44055966.699999996,890169.9,903839.7999999999,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",2015,36019689.400000006,886507.8999999999,918136.5,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",2016,39660860.5,887990.9,940357.6000000001,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",2017,39855752,889891.5,949405.5,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",2018,41983834.300000004,885026.5,909582.8,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",2019,39163342.6,870236.5,904652.1,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",2020,33516050.000000004,832811.4,946643.6,NA
"SWE","Sweden","Energy","Not agri-food","yes","no",2021,35323641.6,822406.7999999999,956116.9,NA
