"ISO3","Area","Item","Group","sector","agrifood","Year","Total","CO2","N2O","CH4","F-gases"
"SWZ","Eswatini","Energy","Not agri-food","yes","no",1992,1164684.5,833387.3,38560.7,292736.5,NA
"SWZ","Eswatini","Energy","Not agri-food","yes","no",1993,1015466.7,708196.3,37590.299999999996,269680.1,NA
"SWZ","Eswatini","Energy","Not agri-food","yes","no",1994,1455483,1079914.3,40494,335074.7,NA
"SWZ","Eswatini","Energy","Not agri-food","yes","no",1995,1434616.0999999999,1065132.4,39554.4,329929.3,NA
"SWZ","Eswatini","Energy","Not agri-food","yes","no",1996,1133680.2,786023.5999999999,37869.799999999996,309786.80000000005,NA
"SWZ","Eswatini","Energy","Not agri-food","yes","no",1997,1589635.6,1147578.7000000002,37685.8,404371.10000000003,NA
"SWZ","Eswatini","Energy","Not agri-food","yes","no",1998,1608056.5999999999,1165912.2999999998,38452.7,403691.6,NA
"SWZ","Eswatini","Energy","Not agri-food","yes","no",1999,1733707.7999999998,1243969.6999999997,38696.8,451041.3,NA
"SWZ","Eswatini","Energy","Not agri-food","yes","no",2000,1664761,1213966.5,37062.7,413731.80000000005,NA
"SWZ","Eswatini","Energy","Not agri-food","yes","no",2001,1524526.8,1099639.6,36363.9,388523.3,NA
"SWZ","Eswatini","Energy","Not agri-food","yes","no",2002,1557833.3,1086113.3,36419.3,435300.7,NA
"SWZ","Eswatini","Energy","Not agri-food","yes","no",2003,1496512.3,1013040.9,35693.600000000006,447777.8,NA
"SWZ","Eswatini","Energy","Not agri-food","yes","no",2004,1505452.2,1006115.7,34836.1,464500.4,NA
"SWZ","Eswatini","Energy","Not agri-food","yes","no",2005,1500106.6,1016728.5,35331.5,448046.60000000003,NA
"SWZ","Eswatini","Energy","Not agri-food","yes","no",2006,1509502.7,1020322,39368.7,449812,NA
"SWZ","Eswatini","Energy","Not agri-food","yes","no",2007,1544347.4000000001,1046177.3000000002,39546,458624.1,NA
"SWZ","Eswatini","Energy","Not agri-food","yes","no",2008,1521619,1027718.1000000001,39981.200000000004,453919.69999999995,NA
