"ISO3","Area","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"TCD","Chad","Energy","Not agri-food","yes","no",1992,"Total",1301113.2
"TCD","Chad","Energy","Not agri-food","yes","no",1992,"CO2",407003.79999999993
"TCD","Chad","Energy","Not agri-food","yes","no",1992,"N2O",77263.40000000001
"TCD","Chad","Energy","Not agri-food","yes","no",1992,"CH4",816846
"TCD","Chad","Energy","Not agri-food","yes","no",1992,"F-gases",NA
"TCD","Chad","Energy","Not agri-food","yes","no",1993,"Total",1324352.4
"TCD","Chad","Energy","Not agri-food","yes","no",1993,"CO2",403337
"TCD","Chad","Energy","Not agri-food","yes","no",1993,"N2O",77973.1
"TCD","Chad","Energy","Not agri-food","yes","no",1993,"CH4",843042.2999999999
"TCD","Chad","Energy","Not agri-food","yes","no",1993,"F-gases",NA
"TCD","Chad","Energy","Not agri-food","yes","no",1994,"Total",1338797.2
"TCD","Chad","Energy","Not agri-food","yes","no",1994,"CO2",412613.69999999995
"TCD","Chad","Energy","Not agri-food","yes","no",1994,"N2O",78139.5
"TCD","Chad","Energy","Not agri-food","yes","no",1994,"CH4",848044
"TCD","Chad","Energy","Not agri-food","yes","no",1994,"F-gases",NA
"TCD","Chad","Energy","Not agri-food","yes","no",1995,"Total",1394862.1
"TCD","Chad","Energy","Not agri-food","yes","no",1995,"CO2",428009.80000000005
"TCD","Chad","Energy","Not agri-food","yes","no",1995,"N2O",82096.1
"TCD","Chad","Energy","Not agri-food","yes","no",1995,"CH4",884756.2000000001
"TCD","Chad","Energy","Not agri-food","yes","no",1995,"F-gases",NA
"TCD","Chad","Energy","Not agri-food","yes","no",1996,"Total",1422568.8
"TCD","Chad","Energy","Not agri-food","yes","no",1996,"CO2",443798.6
"TCD","Chad","Energy","Not agri-food","yes","no",1996,"N2O",82572.3
"TCD","Chad","Energy","Not agri-food","yes","no",1996,"CH4",896197.9
"TCD","Chad","Energy","Not agri-food","yes","no",1996,"F-gases",NA
"TCD","Chad","Energy","Not agri-food","yes","no",1997,"Total",1446771.4000000001
"TCD","Chad","Energy","Not agri-food","yes","no",1997,"CO2",453528.70000000007
"TCD","Chad","Energy","Not agri-food","yes","no",1997,"N2O",82877.4
"TCD","Chad","Energy","Not agri-food","yes","no",1997,"CH4",910365.3
"TCD","Chad","Energy","Not agri-food","yes","no",1997,"F-gases",NA
"TCD","Chad","Energy","Not agri-food","yes","no",1998,"Total",1490621.2
"TCD","Chad","Energy","Not agri-food","yes","no",1998,"CO2",464248.19999999995
"TCD","Chad","Energy","Not agri-food","yes","no",1998,"N2O",85371.2
"TCD","Chad","Energy","Not agri-food","yes","no",1998,"CH4",941001.8
"TCD","Chad","Energy","Not agri-food","yes","no",1998,"F-gases",NA
"TCD","Chad","Energy","Not agri-food","yes","no",1999,"Total",1602738.4
"TCD","Chad","Energy","Not agri-food","yes","no",1999,"CO2",478073.5
"TCD","Chad","Energy","Not agri-food","yes","no",1999,"N2O",93714
"TCD","Chad","Energy","Not agri-food","yes","no",1999,"CH4",1030950.9
"TCD","Chad","Energy","Not agri-food","yes","no",1999,"F-gases",NA
"TCD","Chad","Energy","Not agri-food","yes","no",2000,"Total",1649053.4
"TCD","Chad","Energy","Not agri-food","yes","no",2000,"CO2",487895.5
"TCD","Chad","Energy","Not agri-food","yes","no",2000,"N2O",96919.4
"TCD","Chad","Energy","Not agri-food","yes","no",2000,"CH4",1064238.5
"TCD","Chad","Energy","Not agri-food","yes","no",2000,"F-gases",NA
"TCD","Chad","Energy","Not agri-food","yes","no",2001,"Total",1674736.2
"TCD","Chad","Energy","Not agri-food","yes","no",2001,"CO2",506096.59999999986
"TCD","Chad","Energy","Not agri-food","yes","no",2001,"N2O",97437.9
"TCD","Chad","Energy","Not agri-food","yes","no",2001,"CH4",1071201.7000000002
"TCD","Chad","Energy","Not agri-food","yes","no",2001,"F-gases",NA
"TCD","Chad","Energy","Not agri-food","yes","no",2002,"Total",1726855.1
"TCD","Chad","Energy","Not agri-food","yes","no",2002,"CO2",528520.8999999999
"TCD","Chad","Energy","Not agri-food","yes","no",2002,"N2O",99420.59999999999
"TCD","Chad","Energy","Not agri-food","yes","no",2002,"CH4",1098913.6
"TCD","Chad","Energy","Not agri-food","yes","no",2002,"F-gases",NA
"TCD","Chad","Energy","Not agri-food","yes","no",2003,"Total",2391583.4
"TCD","Chad","Energy","Not agri-food","yes","no",2003,"CO2",891357.7
"TCD","Chad","Energy","Not agri-food","yes","no",2003,"N2O",102961.8
"TCD","Chad","Energy","Not agri-food","yes","no",2003,"CH4",1397263.9
"TCD","Chad","Energy","Not agri-food","yes","no",2003,"F-gases",NA
"TCD","Chad","Energy","Not agri-food","yes","no",2004,"Total",3657673
"TCD","Chad","Energy","Not agri-food","yes","no",2004,"CO2",929833.6000000001
"TCD","Chad","Energy","Not agri-food","yes","no",2004,"N2O",107354.5
"TCD","Chad","Energy","Not agri-food","yes","no",2004,"CH4",2620484.9
"TCD","Chad","Energy","Not agri-food","yes","no",2004,"F-gases",NA
"TCD","Chad","Energy","Not agri-food","yes","no",2005,"Total",3768773.3
"TCD","Chad","Energy","Not agri-food","yes","no",2005,"CO2",953309.1999999997
"TCD","Chad","Energy","Not agri-food","yes","no",2005,"N2O",112327
"TCD","Chad","Energy","Not agri-food","yes","no",2005,"CH4",2703137.1
"TCD","Chad","Energy","Not agri-food","yes","no",2005,"F-gases",NA
"TCD","Chad","Energy","Not agri-food","yes","no",2006,"Total",3672005.8
"TCD","Chad","Energy","Not agri-food","yes","no",2006,"CO2",986877.1000000001
"TCD","Chad","Energy","Not agri-food","yes","no",2006,"N2O",114099.5
"TCD","Chad","Energy","Not agri-food","yes","no",2006,"CH4",2571029.1999999997
"TCD","Chad","Energy","Not agri-food","yes","no",2006,"F-gases",NA
"TCD","Chad","Energy","Not agri-food","yes","no",2007,"Total",3701210.7
"TCD","Chad","Energy","Not agri-food","yes","no",2007,"CO2",1114310.2000000002
"TCD","Chad","Energy","Not agri-food","yes","no",2007,"N2O",117416.9
"TCD","Chad","Energy","Not agri-food","yes","no",2007,"CH4",2469483.6
"TCD","Chad","Energy","Not agri-food","yes","no",2007,"F-gases",NA
"TCD","Chad","Energy","Not agri-food","yes","no",2008,"Total",3344624.4000000004
"TCD","Chad","Energy","Not agri-food","yes","no",2008,"CO2",892759.3999999999
"TCD","Chad","Energy","Not agri-food","yes","no",2008,"N2O",118876.59999999999
"TCD","Chad","Energy","Not agri-food","yes","no",2008,"CH4",2332988.4000000004
"TCD","Chad","Energy","Not agri-food","yes","no",2008,"F-gases",NA
"TCD","Chad","Energy","Not agri-food","yes","no",2009,"Total",3701841.1
"TCD","Chad","Energy","Not agri-food","yes","no",2009,"CO2",1235326.6
"TCD","Chad","Energy","Not agri-food","yes","no",2009,"N2O",121853
"TCD","Chad","Energy","Not agri-food","yes","no",2009,"CH4",2344661.5
"TCD","Chad","Energy","Not agri-food","yes","no",2009,"F-gases",NA
"TCD","Chad","Energy","Not agri-food","yes","no",2010,"Total",3788844.6
"TCD","Chad","Energy","Not agri-food","yes","no",2010,"CO2",1252692.7000000002
"TCD","Chad","Energy","Not agri-food","yes","no",2010,"N2O",124786
"TCD","Chad","Energy","Not agri-food","yes","no",2010,"CH4",2411365.9
