"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"TKM","Turkmenistan","Central Asia","Central Asia","Energy","Not agri-food","yes","no",1992,"Total",53988252.699999996
"TKM","Turkmenistan","Central Asia","Central Asia","Energy","Not agri-food","yes","no",1992,"CO2",31597274.999999993
"TKM","Turkmenistan","Central Asia","Central Asia","Energy","Not agri-food","yes","no",1992,"N2O",63209.6
"TKM","Turkmenistan","Central Asia","Central Asia","Energy","Not agri-food","yes","no",1992,"CH4",22327768.1
"TKM","Turkmenistan","Central Asia","Central Asia","Energy","Not agri-food","yes","no",1992,"F-gases",0
"TKM","Turkmenistan","Central Asia","Central Asia","Energy","Not agri-food","yes","no",1993,"Total",52554177.199999996
"TKM","Turkmenistan","Central Asia","Central Asia","Energy","Not agri-food","yes","no",1993,"CO2",27123560.999999996
"TKM","Turkmenistan","Central Asia","Central Asia","Energy","Not agri-food","yes","no",1993,"N2O",48519
"TKM","Turkmenistan","Central Asia","Central Asia","Energy","Not agri-food","yes","no",1993,"CH4",25382097.2
"TKM","Turkmenistan","Central Asia","Central Asia","Energy","Not agri-food","yes","no",1993,"F-gases",0
"TKM","Turkmenistan","Central Asia","Central Asia","Energy","Not agri-food","yes","no",1994,"Total",48664806.4
"TKM","Turkmenistan","Central Asia","Central Asia","Energy","Not agri-food","yes","no",1994,"CO2",33297109
"TKM","Turkmenistan","Central Asia","Central Asia","Energy","Not agri-food","yes","no",1994,"N2O",50863
"TKM","Turkmenistan","Central Asia","Central Asia","Energy","Not agri-food","yes","no",1994,"CH4",15316834.4
"TKM","Turkmenistan","Central Asia","Central Asia","Energy","Not agri-food","yes","no",1994,"F-gases",0
"TKM","Turkmenistan","Central Asia","Central Asia","Energy","Not agri-food","yes","no",1995,"Total",48679953.699999996
"TKM","Turkmenistan","Central Asia","Central Asia","Energy","Not agri-food","yes","no",1995,"CO2",33892598.099999994
"TKM","Turkmenistan","Central Asia","Central Asia","Energy","Not agri-food","yes","no",1995,"N2O",50055.700000000004
"TKM","Turkmenistan","Central Asia","Central Asia","Energy","Not agri-food","yes","no",1995,"CH4",14737299.9
"TKM","Turkmenistan","Central Asia","Central Asia","Energy","Not agri-food","yes","no",1995,"F-gases",0
"TKM","Turkmenistan","Central Asia","Central Asia","Energy","Not agri-food","yes","no",1996,"Total",46653349.6
"TKM","Turkmenistan","Central Asia","Central Asia","Energy","Not agri-food","yes","no",1996,"CO2",30610995.1
"TKM","Turkmenistan","Central Asia","Central Asia","Energy","Not agri-food","yes","no",1996,"N2O",57184.5
"TKM","Turkmenistan","Central Asia","Central Asia","Energy","Not agri-food","yes","no",1996,"CH4",15985170
