"ISO3","Area","Item","Group","sector","agrifood","Year","Total","CO2","N2O","CH4","F-gases"
"TLS","Timor-Leste","Energy","Not agri-food","yes","no",1992,125932.90000000001,116066.90000000001,1567.7,8298.3,NA
"TLS","Timor-Leste","Energy","Not agri-food","yes","no",1993,125840.90000000001,115874.90000000001,1577.8000000000002,8388.199999999999,NA
"TLS","Timor-Leste","Energy","Not agri-food","yes","no",1994,121518.5,111940.3,1532.6,8045.6,NA
"TLS","Timor-Leste","Energy","Not agri-food","yes","no",1995,127698.8,112742.3,2157.7000000000003,12798.8,NA
"TLS","Timor-Leste","Energy","Not agri-food","yes","no",1996,141313.1,124655.1,2343.6,14314.4,NA
"TLS","Timor-Leste","Energy","Not agri-food","yes","no",1997,160672.40000000002,144425.7,2294.7000000000003,13952,NA
"TLS","Timor-Leste","Energy","Not agri-food","yes","no",1998,223363.30000000002,207650.1,2018.6000000000001,13694.599999999999,NA
"TLS","Timor-Leste","Energy","Not agri-food","yes","no",1999,329717,313813.4,2360.9,13542.7,NA
"TLS","Timor-Leste","Energy","Not agri-food","yes","no",2000,403961.2,387562.3,2811.2,13587.7,NA
"TLS","Timor-Leste","Energy","Not agri-food","yes","no",2001,306413.3,291064,2337.2999999999997,13012,NA
"TLS","Timor-Leste","Energy","Not agri-food","yes","no",2002,280113.3,265175.89999999997,2236,12701.4,NA
"TLS","Timor-Leste","Energy","Not agri-food","yes","no",2003,275615.5,259846.4,3047.8999999999996,12721.199999999999,NA
"TLS","Timor-Leste","Energy","Not agri-food","yes","no",2004,851469.7999999999,513887.7999999999,3948.7000000000003,333633.30000000005,NA
"TLS","Timor-Leste","Energy","Not agri-food","yes","no",2005,952835.5,338298.9,3278.7999999999997,611257.7999999999,NA
"TLS","Timor-Leste","Energy","Not agri-food","yes","no",2006,2500139.3,334679.39999999944,3249.6,2162210.3000000003,NA
"TLS","Timor-Leste","Energy","Not agri-food","yes","no",2007,2830600.9,303143.6999999997,3409.6000000000004,2524047.6,NA
"TLS","Timor-Leste","Energy","Not agri-food","yes","no",2008,3235219.8,300679.7999999998,3550.3999999999996,2930989.6,NA
"TLS","Timor-Leste","Energy","Not agri-food","yes","no",2009,2798567.1,336923.1000000001,3732.2000000000003,2457911.8,NA
"TLS","Timor-Leste","Energy","Not agri-food","yes","no",2010,2680333.8,319448,3901.4,2356984.4,NA
