"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"TTO","Trinidad and Tobago","Caribbean",NA,"Energy","Not agri-food","yes","no",1992,"Total",23968074.7
"TTO","Trinidad and Tobago","Caribbean",NA,"Energy","Not agri-food","yes","no",1992,"CO2",21115189.1
"TTO","Trinidad and Tobago","Caribbean",NA,"Energy","Not agri-food","yes","no",1992,"N2O",24430.9
"TTO","Trinidad and Tobago","Caribbean",NA,"Energy","Not agri-food","yes","no",1992,"CH4",2828454.6999999997
"TTO","Trinidad and Tobago","Caribbean",NA,"Energy","Not agri-food","yes","no",1992,"F-gases",0
"TTO","Trinidad and Tobago","Caribbean",NA,"Energy","Not agri-food","yes","no",1993,"Total",22213703.8
"TTO","Trinidad and Tobago","Caribbean",NA,"Energy","Not agri-food","yes","no",1993,"CO2",19363330
"TTO","Trinidad and Tobago","Caribbean",NA,"Energy","Not agri-food","yes","no",1993,"N2O",22465.1
"TTO","Trinidad and Tobago","Caribbean",NA,"Energy","Not agri-food","yes","no",1993,"CH4",2827908.7
"TTO","Trinidad and Tobago","Caribbean",NA,"Energy","Not agri-food","yes","no",1993,"F-gases",0
"TTO","Trinidad and Tobago","Caribbean",NA,"Energy","Not agri-food","yes","no",1994,"Total",22763215.7
"TTO","Trinidad and Tobago","Caribbean",NA,"Energy","Not agri-food","yes","no",1994,"CO2",19738819
"TTO","Trinidad and Tobago","Caribbean",NA,"Energy","Not agri-food","yes","no",1994,"N2O",21939.9
"TTO","Trinidad and Tobago","Caribbean",NA,"Energy","Not agri-food","yes","no",1994,"CH4",3002456.8
"TTO","Trinidad and Tobago","Caribbean",NA,"Energy","Not agri-food","yes","no",1994,"F-gases",0
"TTO","Trinidad and Tobago","Caribbean",NA,"Energy","Not agri-food","yes","no",1995,"Total",22415614.4
"TTO","Trinidad and Tobago","Caribbean",NA,"Energy","Not agri-food","yes","no",1995,"CO2",19421174
"TTO","Trinidad and Tobago","Caribbean",NA,"Energy","Not agri-food","yes","no",1995,"N2O",23224.9
"TTO","Trinidad and Tobago","Caribbean",NA,"Energy","Not agri-food","yes","no",1995,"CH4",2971215.5
"TTO","Trinidad and Tobago","Caribbean",NA,"Energy","Not agri-food","yes","no",1995,"F-gases",0
"TTO","Trinidad and Tobago","Caribbean",NA,"Energy","Not agri-food","yes","no",1996,"Total",25848569.4
"TTO","Trinidad and Tobago","Caribbean",NA,"Energy","Not agri-food","yes","no",1996,"CO2",22703961
"TTO","Trinidad and Tobago","Caribbean",NA,"Energy","Not agri-food","yes","no",1996,"N2O",27995.6
