"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"Total",32003845.099999998
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"CO2",21175882
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"N2O",673887.3999999999
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"CH4",10154075.7
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1992,"F-gases",0
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"Total",34611048.7
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"CO2",22611311
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"N2O",759796.7999999999
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"CH4",11239940.9
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1993,"F-gases",0
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"Total",37862439.400000006
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"CO2",25718835.000000007
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"N2O",741662.7999999999
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"CH4",11401941.6
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1994,"F-gases",0
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1995,"Total",40928702.2
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1995,"CO2",26808315.000000004
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1995,"N2O",750081.2
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1995,"CH4",13370306
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1995,"F-gases",0
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1996,"Total",46577897.8
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1996,"CO2",32099995.099999998
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1996,"N2O",782295.2000000001
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1996,"CH4",13695607.5
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1996,"F-gases",0
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1997,"Total",56110637.1
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1997,"CO2",41729009
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1997,"N2O",826461.6
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1997,"CH4",13555166.5
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1997,"F-gases",0
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1998,"Total",58776939.1
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1998,"CO2",43553283
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1998,"N2O",868801.7
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1998,"CH4",14354854.4
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1998,"F-gases",0
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1999,"Total",59983269.5
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1999,"CO2",43135931
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1999,"N2O",904073.8
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1999,"CH4",15943264.7
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",1999,"F-gases",0
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",2000,"Total",64343253.7
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",2000,"CO2",47704500.1
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",2000,"N2O",906928.7000000001
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",2000,"CH4",15731824.9
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",2000,"F-gases",0
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",2001,"Total",71111650.7
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",2001,"CO2",53829321.1
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",2001,"N2O",937338.6000000001
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",2001,"CH4",16344991
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",2001,"F-gases",0
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",2002,"Total",78914886.5
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",2002,"CO2",60911593.900000006
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",2002,"N2O",987784.4
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",2002,"CH4",17015508.2
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",2002,"F-gases",0
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",2003,"Total",87071393.3
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",2003,"CO2",67576580.9
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",2003,"N2O",1054559.2
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",2003,"CH4",18440253.2
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",2003,"F-gases",0
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",2004,"Total",105807187.39999999
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",2004,"CO2",80708007
"VNM","Viet Nam","South-eastern Asia",NA,"Energy","Not agri-food","yes","no",2004,"N2O",1161921
