"ISO3","Area","Item","Group","sector","agrifood","Year","tCO2eq_total","tCO2eq_N2O","tCO2eq_CH4","tCO2eq_Fgases"
"VNM","Viet Nam","Energy","Not agri-food","yes","no",1992,32003845.099999998,673887.3999999999,10154075.7,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",1993,34611048.7,759796.7999999999,11239940.9,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",1994,37862439.400000006,741662.7999999999,11401941.6,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",1995,40928702.2,750081.2,13370306,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",1996,46577897.8,782295.2000000001,13695607.5,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",1997,56110637.1,826461.6,13555166.5,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",1998,58776939.1,868801.7,14354854.4,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",1999,59983269.5,904073.8,15943264.7,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2000,64343253.7,906928.7000000001,15731824.9,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2001,71111650.7,937338.6000000001,16344991,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2002,78914886.5,987784.4,17015508.2,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2003,87071393.3,1054559.2,18440253.2,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2004,105807187.39999999,1161921,23937259.4,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2005,112463340.6,1182965.3,26819490.3,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2006,117694851.7,1189276.7,28147630,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2007,118954454.4,1247813.4,29774962,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2008,129497526.7,1290391.3,28628860.400000002,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2009,138507438.7,1362901.1,31277097.6,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2010,149749866,1423132.4,31774503.6,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2011,158179805.2,1388484.8,32184440.4,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2012,148790057.39999998,1386887.8,31174309.6,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2013,153976366.29999998,1418487.5,30787178.8,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2014,182513356.70000002,1471010.7,31204796,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2015,210796426.5,1655666.7,27272709.8,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2016,215221783.8,1802442.4,26305021.400000002,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2017,214839043.6,1910205.4000000001,25353288.2,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2018,238024204.8,2134857,27051317.7,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2019,317081597.9,2356380.7,28673677.2,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2020,332637919.2,2261700.3,26294698.9,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2021,317145115.6,2169257.6,28969178,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2022,306792943.90000004,2190057.5,29937146.400000002,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2030,NA,NA,NA,NA
"VNM","Viet Nam","Energy","Not agri-food","yes","no",2050,NA,NA,NA,NA
"VNM","Viet Nam","IPPU","Not agri-food","yes","no",1992,2032805.5,150.79999999999998,68.6,18272.5
"VNM","Viet Nam","IPPU","Not agri-food","yes","no",1993,2136498.9,153.79999999999998,90.2,28405.100000000002
"VNM","Viet Nam","IPPU","Not agri-food","yes","no",1994,2390121.8,156.70000000000002,44.1,64404.5
"VNM","Viet Nam","IPPU","Not agri-food","yes","no",1995,2909893.8,159.39999999999998,24.1,109309.2
"VNM","Viet Nam","IPPU","Not agri-food","yes","no",1996,3290637.1,161.89999999999998,4.1000000000000005,170449.19999999998
"VNM","Viet Nam","IPPU","Not agri-food","yes","no",1997,3920668.1,164.20000000000002,0,234540.6
