"ISO3","Area","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"YEM","Yemen","Energy","Not agri-food","yes","no",1992,"Total",12951849.200000001
"YEM","Yemen","Energy","Not agri-food","yes","no",1992,"CO2",9573998.100000001
"YEM","Yemen","Energy","Not agri-food","yes","no",1992,"N2O",52072.4
"YEM","Yemen","Energy","Not agri-food","yes","no",1992,"CH4",3325778.6999999997
"YEM","Yemen","Energy","Not agri-food","yes","no",1992,"F-gases",NA
"YEM","Yemen","Energy","Not agri-food","yes","no",1993,"Total",12343511.1
"YEM","Yemen","Energy","Not agri-food","yes","no",1993,"CO2",8332407.799999999
"YEM","Yemen","Energy","Not agri-food","yes","no",1993,"N2O",44951.5
"YEM","Yemen","Energy","Not agri-food","yes","no",1993,"CH4",3966151.8000000003
"YEM","Yemen","Energy","Not agri-food","yes","no",1993,"F-gases",NA
"YEM","Yemen","Energy","Not agri-food","yes","no",1994,"Total",14522456.399999999
"YEM","Yemen","Energy","Not agri-food","yes","no",1994,"CO2",9719182.399999999
"YEM","Yemen","Energy","Not agri-food","yes","no",1994,"N2O",57260.8
"YEM","Yemen","Energy","Not agri-food","yes","no",1994,"CH4",4746013.2
"YEM","Yemen","Energy","Not agri-food","yes","no",1994,"F-gases",NA
"YEM","Yemen","Energy","Not agri-food","yes","no",1995,"Total",14823607.799999999
"YEM","Yemen","Energy","Not agri-food","yes","no",1995,"CO2",10740240
"YEM","Yemen","Energy","Not agri-food","yes","no",1995,"N2O",132325.6
"YEM","Yemen","Energy","Not agri-food","yes","no",1995,"CH4",3951042.1999999997
"YEM","Yemen","Energy","Not agri-food","yes","no",1995,"F-gases",NA
"YEM","Yemen","Energy","Not agri-food","yes","no",1996,"Total",15378618.6
"YEM","Yemen","Energy","Not agri-food","yes","no",1996,"CO2",11014224
"YEM","Yemen","Energy","Not agri-food","yes","no",1996,"N2O",156069.1
"YEM","Yemen","Energy","Not agri-food","yes","no",1996,"CH4",4208325.5
"YEM","Yemen","Energy","Not agri-food","yes","no",1996,"F-gases",NA
"YEM","Yemen","Energy","Not agri-food","yes","no",1997,"Total",16562256.9
"YEM","Yemen","Energy","Not agri-food","yes","no",1997,"CO2",11814072
"YEM","Yemen","Energy","Not agri-food","yes","no",1997,"N2O",189644.1
"YEM","Yemen","Energy","Not agri-food","yes","no",1997,"CH4",4558540.8
"YEM","Yemen","Energy","Not agri-food","yes","no",1997,"F-gases",NA
"YEM","Yemen","Energy","Not agri-food","yes","no",1998,"Total",17000718.700000003
"YEM","Yemen","Energy","Not agri-food","yes","no",1998,"CO2",12497064.900000002
"YEM","Yemen","Energy","Not agri-food","yes","no",1998,"N2O",211617.19999999998
"YEM","Yemen","Energy","Not agri-food","yes","no",1998,"CH4",4292036.600000001
"YEM","Yemen","Energy","Not agri-food","yes","no",1998,"F-gases",NA
"YEM","Yemen","Energy","Not agri-food","yes","no",1999,"Total",19587656.1
"YEM","Yemen","Energy","Not agri-food","yes","no",1999,"CO2",14282547.900000002
