"ISO3","Area","UN Region","EBRD Region","Item","Group","sector","agrifood","Year","gas","tCO2eq"
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1992,"Total",390866350
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1992,"CO2",353000000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1992,"N2O",1746350
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1992,"CH4",36120000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1992,"F-gases",0
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1993,"Total",406310400
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1993,"CO2",366000000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1993,"N2O",1950400
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1993,"CH4",38360000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1993,"F-gases",0
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1994,"Total",425182200
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1994,"CO2",384000000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1994,"N2O",1982200
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1994,"CH4",39200000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1994,"F-gases",0
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1995,"Total",453376400
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1995,"CO2",411000000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1995,"N2O",2056400
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1995,"CH4",40320000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1995,"F-gases",0
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1996,"Total",455440000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1996,"CO2",413000000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1996,"N2O",2120000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1996,"CH4",40320000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1996,"F-gases",0
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1997,"Total",478986500
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1997,"CO2",434000000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1997,"N2O",2146500
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1997,"CH4",42840000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1997,"F-gases",0
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1998,"Total",470554450
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1998,"CO2",425000000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1998,"N2O",2154450
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1998,"CH4",43400000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1998,"F-gases",0
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1999,"Total",468914950
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1999,"CO2",424000000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1999,"N2O",2074949.9999999998
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1999,"CH4",42840000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",1999,"F-gases",0
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2000,"Total",470747250
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2000,"CO2",427000000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2000,"N2O",2027250
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2000,"CH4",41720000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2000,"F-gases",0
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2001,"Total",438581200
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2001,"CO2",395000000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2001,"N2O",2141200
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2001,"CH4",41440000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2001,"F-gases",0
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2002,"Total",424495650
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2002,"CO2",382000000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2002,"N2O",2175650
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2002,"CH4",40320000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2002,"F-gases",0
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2003,"Total",475639250
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2003,"CO2",430000000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2003,"N2O",2239250
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2003,"CH4",43400000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2003,"F-gases",0
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2004,"Total",524585250
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2004,"CO2",478000000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2004,"N2O",2345250
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2004,"CH4",44240000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2004,"F-gases",0
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2005,"Total",505516350
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2005,"CO2",459000000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2005,"N2O",2276350
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2005,"CH4",44240000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2005,"F-gases",0
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2006,"Total",536254900
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2006,"CO2",490000000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2006,"N2O",2294900
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2006,"CH4",43960000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2006,"F-gases",0
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2007,"Total",555915600
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2007,"CO2",509000000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2007,"N2O",2395600
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2007,"CH4",44520000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2007,"F-gases",0
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2008,"Total",587442800
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2008,"CO2",539000000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2008,"N2O",2522800
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2008,"CH4",45920000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2008,"F-gases",0
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2009,"Total",566771500
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2009,"CO2",519000000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2009,"N2O",2411500
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2009,"CH4",45360000
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2009,"F-gases",0
"ZAF","South Africa","Southern Africa",NA,"Energy","Not agri-food","yes","no",2010,"Total",532594850
