"ISO3","Area","UN Region","EBRD Region","Item","Element","Unit","Year","value"
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1992,1348.06
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1993,1444.97
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1994,1591.46
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1995,1558.66
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1996,1711.07
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1997,1837.67
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1998,1965.22
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1999,2068.74
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2000,2116.36
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2001,2089.17
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2002,2166.83
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2003,2267.99
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2004,2425.56
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2005,2740.45
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2006,3102.37
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2007,3601.191107
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2008,3879.627984
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2009,3562.081562
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2010,3411.436367
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2011,3460
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2012,3583
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2013,3579
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2014,3723
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2015,3882
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2016,4022
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2017,4134
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2018,4486
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2019,4658
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2020,3809
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2021,4324
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2022,5043
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2023,5489.33
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2024,5975.120622
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",1992,499.281481
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",1993,535.174074
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",1994,589.42963
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",1995,577.281481
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",1996,633.72963
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",1997,680.618519
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",1998,727.859259
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",1999,766.2
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2000,783.837037
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2001,773.766667
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2002,802.52963
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2003,839.996296
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2004,898.355556
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2005,1014.981481
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2006,1149.025926
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2007,1333.774484
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2008,1436.899253
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2009,1319.289467
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2010,1263.494951
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2011,1281.481481
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2012,1327.037037
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2013,1325.555556
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2014,1378.888889
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2015,1437.777778
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2016,1489.62963
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2017,1531.111111
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2018,1661.481481
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2019,1725.185185
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2020,1410.740741
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2021,1601.481481
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2022,1867.777778
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2023,2033.085185
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$","million USD",2024,2213.007638
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",1992,7752.276339
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",1993,8159.758398
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",1994,8818.186478
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",1995,8465.965397
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",1996,9103.80655
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",1997,9579.025777
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",1998,10051.569263
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",1999,10400.928509
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",2000,10463.437594
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",2001,10171.905332
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",2002,10418.133109
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",2003,10785.222848
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",2004,11412.109522
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",2005,12749.341877
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",2006,14255.197334
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",2007,16324.469843
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",2008,17330.413611
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",2009,15673.54695
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",2010,14808.80856
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",2011,14843.644089
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",2012,15207.850528
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",2013,15052.098809
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",2014,15534.150723
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",2015,16080.906595
"ATG","Antigua and Barbuda","Caribbean",NA,"Gross Domestic Product","Value US$ per capita","USD",2016,16557.143345
