"ISO3","Area","Item","Element","Unit","Year","value"
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,4682.3848
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,4656.325033
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,4907.552998
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,5164.608418
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,5862.51396
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,6332.4
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,6833.2
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,7683.9
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,8076.5
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,8317.8
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,8881.2
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,8870.1
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,9055.3
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,9836.2
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,10167.3
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,10618.3
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,10526
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,9982
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,10095.8
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,10070.4
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,10720.496826
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,10395.821842
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,10974.147371
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,11671.871933
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,11745.064622
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,12236.679359
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2018,12615.806799
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2019,13016.196016
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2020,9958.194343
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2021,11368.925378
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2022,13136.383734
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2023,14338.472777
"BHS","Bahamas","Gross Domestic Product","Value Standard Local Currency","million SLC",2024,14934.179449
"BHS","Bahamas","Gross Domestic Product","Value US$","million USD",1992,4682.3848
"BHS","Bahamas","Gross Domestic Product","Value US$","million USD",1993,4656.325033
"BHS","Bahamas","Gross Domestic Product","Value US$","million USD",1994,4907.552998
"BHS","Bahamas","Gross Domestic Product","Value US$","million USD",1995,5164.608418
