"ISO3","Area","Item","Element","Unit","Year","value"
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,22014.006044
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,24458.969278
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,27636.341947
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,32235.072934
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,37536.6468
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,41643.866086
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,46822.325661
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,48156.174848
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,51928.49213
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,53790.326571
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,56682.328526
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,61904.448604
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,69626.113115
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,77023.817369
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,91747.795297
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,103009.182446
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,120693.764151
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,121726.745182
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,137875.568041
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,166231.562917
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,187153.877607
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,211856.031664
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,228003.659167
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,228031.369895
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,234533.182042
"BOL","Bolivia (Plurinational State of)","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,259185
