"ISO3","Area","Item","Element","Unit","Year","value"
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,1709890
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,1757340
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,1838020
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,1899930
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,1928560
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,1967180
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,2022310
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,2077240
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,2129660
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,2195530
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,2223360
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,2240810
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,2293040
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,2325710
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,2426180
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,2542220
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,2589680
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,2494870
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,2616060
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,2747810
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,2800380
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,2867280
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,2985170
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,3085650
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,3196110
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,3331110
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2018,3431130
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2019,3534880
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2020,3449620
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2021,3676460
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2022,3953850
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2023,4185550
"DEU","Germany","Gross Domestic Product","Value Standard Local Currency","million SLC",2024,4323939.974801
"DEU","Germany","Gross Domestic Product","Value US$","million USD",1992,2141487.630839
"DEU","Germany","Gross Domestic Product","Value US$","million USD",1993,2078881.619891
"DEU","Germany","Gross Domestic Product","Value US$","million USD",1994,2215225.276527
"DEU","Germany","Gross Domestic Product","Value US$","million USD",1995,2592879.647834
"DEU","Germany","Gross Domestic Product","Value US$","million USD",1996,2506645.574037
"DEU","Germany","Gross Domestic Product","Value US$","million USD",1997,2218769.191534
"DEU","Germany","Gross Domestic Product","Value US$","million USD",1998,2247750.977116
"DEU","Germany","Gross Domestic Product","Value US$","million USD",1999,2213873.468587
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2000,1966980.701145
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2001,1966381.496642
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2002,2102350.798306
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2003,2534715.518349
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2004,2852317.768062
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2005,2893393.187362
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2006,3046308.753671
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2007,3484056.680855
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2008,3808786.022313
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2009,3479800.820863
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2010,3468154.343
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2011,3824828.563521
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2012,3597896.500945
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2013,3808086.291482
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2014,3965800.68631
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2015,3423568.450957
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2016,3537784.107981
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2017,3763092.263753
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2018,4052008.447223
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2019,3957208.055216
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2020,3940142.541354
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2021,4348297.440388
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2022,4163596.357879
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2023,4525703.903628
"DEU","Germany","Gross Domestic Product","Value US$","million USD",2024,4682715.483477
"DEU","Germany","Gross Domestic Product","Value US$ per capita","USD",1992,26459.385058
"DEU","Germany","Gross Domestic Product","Value US$ per capita","USD",1993,25511.890533
"DEU","Germany","Gross Domestic Product","Value US$ per capita","USD",1994,27089.731032
"DEU","Germany","Gross Domestic Product","Value US$ per capita","USD",1995,31612.815282
"DEU","Germany","Gross Domestic Product","Value US$ per capita","USD",1996,30471.047734
"DEU","Germany","Gross Domestic Product","Value US$ per capita","USD",1997,26930.197115
"DEU","Germany","Gross Domestic Product","Value US$ per capita","USD",1998,27407.606801
"DEU","Germany","Gross Domestic Product","Value US$ per capita","USD",1999,27104.797981
"DEU","Germany","Gross Domestic Product","Value US$ per capita","USD",2000,24047.024769
"DEU","Germany","Gross Domestic Product","Value US$ per capita","USD",2001,23999.61272
"DEU","Germany","Gross Domestic Product","Value US$ per capita","USD",2002,25617.078939
"DEU","Germany","Gross Domestic Product","Value US$ per capita","USD",2003,30869.146867
"DEU","Germany","Gross Domestic Product","Value US$ per capita","USD",2004,34745.080534
"DEU","Germany","Gross Domestic Product","Value US$ per capita","USD",2005,35265.185702
"DEU","Germany","Gross Domestic Product","Value US$ per capita","USD",2006,37285.621343
"DEU","Germany","Gross Domestic Product","Value US$ per capita","USD",2007,42855.093999
"DEU","Germany","Gross Domestic Product","Value US$ per capita","USD",2008,46957.829609
"DEU","Germany","Gross Domestic Product","Value US$ per capita","USD",2009,42994.855789
"DEU","Germany","Gross Domestic Product","Value US$ per capita","USD",2010,42906.281054
"DEU","Germany","Gross Domestic Product","Value US$ per capita","USD",2011,47303.10603
"DEU","Germany","Gross Domestic Product","Value US$ per capita","USD",2012,44464.372159
"DEU","Germany","Gross Domestic Product","Value US$ per capita","USD",2013,46989.288967
"DEU","Germany","Gross Domestic Product","Value US$ per capita","USD",2014,48734.23107
"DEU","Germany","Gross Domestic Product","Value US$ per capita","USD",2015,41711.386732
