"ISO3","Area","Item","Element","Unit","Year","value"
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,901.852944
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,1527.22619
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,2089.848697
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,2861.638
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,3679.97
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,4573.002
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,5100.431
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,5406.892
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,6171.645
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,6982.119
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,7824.856
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,8746.713
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,9779.619
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,11345.442
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,13571.163
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,16402.163
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,16618.922
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,14132.542
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,14741.766
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,16741.857
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,18086.559
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,19163.231
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,20365.58
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,21010.885
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,22188.959
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,24316.119
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2018,26438.472
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2019,28472.063
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2020,27859.289
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2021,31456.24
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2022,36442.805
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2023,38187.777
"EST","Estonia","Gross Domestic Product","Value Standard Local Currency","million SLC",2024,40866.251991
"EST","Estonia","Gross Domestic Product","Value US$","million USD",1992,4352.990854
"EST","Estonia","Gross Domestic Product","Value US$","million USD",1993,4200.364646
"EST","Estonia","Gross Domestic Product","Value US$","million USD",1994,4204.601568
"EST","Estonia","Gross Domestic Product","Value US$","million USD",1995,4475.869225
"EST","Estonia","Gross Domestic Product","Value US$","million USD",1996,4783.105051
"EST","Estonia","Gross Domestic Product","Value US$","million USD",1997,5154.388538
"EST","Estonia","Gross Domestic Product","Value US$","million USD",1998,5670.074153
"EST","Estonia","Gross Domestic Product","Value US$","million USD",1999,5763.855973
"EST","Estonia","Gross Domestic Product","Value US$","million USD",2000,5690.808434
"EST","Estonia","Gross Domestic Product","Value US$","million USD",2001,6250.484954
"EST","Estonia","Gross Domestic Product","Value US$","million USD",2002,7370.20993
