"ISO3","Area","UN Region","EBRD Region","Item","Element","Unit","Year","value"
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1992,84786
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1993,85610
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1994,90646
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1995,98454
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1996,101977
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1997,110764
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1998,120431
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1999,126888
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2000,136386
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2001,144613
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2002,148440
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2003,151714
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2004,158741
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2005,164666
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2006,172861
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2007,187059
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2008,194253
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2009,181735
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2010,188147
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2011,197655
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2012,200378
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2013,203497
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2014,205855
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2015,210192
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2016,215717
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2017,224706
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2018,231905
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2019,238518
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2020,236387
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2021,248764
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2022,266124
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2023,273320
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2024,281025.76411
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value US$","million USD",1992,112539.662052
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value US$","million USD",1993,89108.535594
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value US$","million USD",1994,103178.970392
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value US$","million USD",1995,134056.694982
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value US$","million USD",1996,131995.451929
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value US$","million USD",1997,126857.571696
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value US$","million USD",1998,133989.780808
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value US$","million USD",1999,135234.241918
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value US$","million USD",2000,125967.821111
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value US$","million USD",2001,129519.672869
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value US$","million USD",2002,140360.963812
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value US$","million USD",2003,171612.867736
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value US$","million USD",2004,197458.29764
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value US$","million USD",2005,204859.368791
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value US$","million USD",2006,217044.068234
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value US$","million USD",2007,256360.251538
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value US$","million USD",2008,285698.662071
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value US$","million USD",2009,253480.783439
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value US$","million USD",2010,249429.613683
"FIN","Finland","Northern Europe",NA,"Gross Domestic Product","Value US$","million USD",2011,275126.915516
