"ISO3","Area","Item","Element","Unit","Year","value"
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,2303.205
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,2522.506
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,2673.124
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,2770.924
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,2987.239
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,3017.565
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,3284.501
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,3814.108
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,3572.258
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,3761.987
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,4009.155
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,4361.169
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,4693.09
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,5040.012939
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,5325.681502
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,5440.078677
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,5614.901359
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,5614.08063
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,6024.438134
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,6768.488252
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,7109.505256
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,7715.729742
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,9167.032442
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,9822.110338
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,10327.298779
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,11064.951593
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2018,11650.555595
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2019,11762.059235
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2020,9613.154937
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2021,8914.140561
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2022,10939.899925
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2023,12245.285027
"FJI","Fiji","Gross Domestic Product","Value Standard Local Currency","million SLC",2024,13143.285797
"FJI","Fiji","Gross Domestic Product","Value US$","million USD",1992,1532.414536
"FJI","Fiji","Gross Domestic Product","Value US$","million USD",1993,1636.105139
"FJI","Fiji","Gross Domestic Product","Value US$","million USD",1994,1825.748485
"FJI","Fiji","Gross Domestic Product","Value US$","million USD",1995,1970.318085
