"ISO3","Area","Item","Element","Unit","Year","value"
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,638.230506
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,821.439655
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,1104.133685
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,1644.490563
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,2405.289675
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,2993.751492
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,3668.849115
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,4365.456783
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,5759.680137
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,8075.68565
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,10364.772705
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,14033.595088
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,16946.093672
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,20631.289859
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,24759.019967
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,30648.339326
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,39945.927046
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,48442.441321
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,60943.660993
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,79175.494297
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,99690.757539
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,124477.578786
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,158683.996807
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,183525.639097
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,219594.59299
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,262797.968834
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2018,308587.391673
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2019,356544.269846
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2020,391940.733197
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2021,461694.936015
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2022,614336.252718
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2023,841632.930979
"GHA","Ghana","Gross Domestic Product","Value Standard Local Currency","million SLC",2024,1039830.077651
"GHA","Ghana","Gross Domestic Product","Value US$","million USD",1992,14609.775909
"GHA","Ghana","Gross Domestic Product","Value US$","million USD",1993,12662.627054
"GHA","Ghana","Gross Domestic Product","Value US$","million USD",1994,11553.353899
"GHA","Ghana","Gross Domestic Product","Value US$","million USD",1995,13713.930861
"GHA","Ghana","Gross Domestic Product","Value US$","million USD",1996,14707.009058
"GHA","Ghana","Gross Domestic Product","Value US$","million USD",1997,14618.192883
"GHA","Ghana","Gross Domestic Product","Value US$","million USD",1998,15871.065351
"GHA","Ghana","Gross Domestic Product","Value US$","million USD",1999,16371.917638
"GHA","Ghana","Gross Domestic Product","Value US$","million USD",2000,10569.787947
