"ISO3","Area","UN Region","EBRD Region","Item","Element","Unit","Year","value"
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1992,10559.556773
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1993,11436.983756
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1994,11887.323326
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1995,12467.430449
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1996,13811.194192
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1997,13623.14002
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1998,14863.013934
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1999,15429.091593
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2000,16638.565181
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2001,17921.391817
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2002,19140.747793
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2003,23093.309221
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2004,28885.95643
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2005,29367.002975
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2006,29584.43116
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2007,31830.608036
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2008,34659.278882
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2009,38638.120465
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2010,43230.706492
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2011,41531.716062
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2012,45389.296625
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2013,49463.6
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2014,51309.1
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2015,58581.1
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2016,64389.9
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2017,70142.2
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2018,80301.8
"GMB","Gambia","Western Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2019,90793.8
