"ISO3","Area","Item","Element","Unit","Year","value"
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,53590.174683
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,56566.036179
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,91674.528129
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,107480.587176
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,174028.99512
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,381502.741899
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,323318.579926
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,564653.963177
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,1075667.437586
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,1618330.315404
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,1893466.705245
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,2149229.74646
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,2969372.515606
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,4493858.244993
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,5274150
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,6264840
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,8844110
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,7095920
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,8072290
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,10064600
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,11430500
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,10840500
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,10746900
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,7795420
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,6661370
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,7084540
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2018,7274690
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2019,6658370
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2020,5694742
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2021,6774078.811619
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2022,8412514.537175
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2023,7349758.950447
"GNQ","Equatorial Guinea","Gross Domestic Product","Value Standard Local Currency","million SLC",2024,7674573.550657
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",1992,202.462541
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",1993,199.765224
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",1994,165.118431
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",1995,215.32791
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",1996,340.197768
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",1997,653.628167
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",1998,548.042389
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",1999,917.430403
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2000,1514.580901
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2001,2209.633278
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2002,2729.466057
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2003,3706.223979
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2004,5630.871156
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2005,8523.066799
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2006,10095.504027
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2007,13089.006809
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2008,19829.841207
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2009,15088.282438
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2010,16314.437366
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2011,21357.303662
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2012,22388.322579
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2013,21948.791772
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2014,21765.550301
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2015,13185.496881
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2016,11240.814853
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2017,12200.908721
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2018,13097.013925
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2019,11364.13184
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2020,9893.815964
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2021,12215.877528
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2022,13486.7875
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2023,12116.922989
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$","million USD",2024,12670.939827
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$ per capita","USD",1992,396.386909
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$ per capita","USD",1993,376.899161
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$ per capita","USD",1994,300.140021
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$ per capita","USD",1995,376.932728
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$ per capita","USD",1996,573.213739
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$ per capita","USD",1997,1059.548685
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$ per capita","USD",1998,854.348561
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$ per capita","USD",1999,1375.016716
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$ per capita","USD",2000,2153.598928
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$ per capita","USD",2001,2946.82404
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$ per capita","USD",2002,3420.567847
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$ per capita","USD",2003,4371.255928
"GNQ","Equatorial Guinea","Gross Domestic Product","Value US$ per capita","USD",2004,6257.104027
