"ISO3","Area","Item","Element","Unit","Year","value"
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,64111.815
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,72188.55
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,81865.805
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,91769.24
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,100664.108
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,111193.25
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,121086.192
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,128668.045
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,136161.171
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,147438.724
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,158902.258
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,174096.009
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,188905.2
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,194773.381
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,214298.875
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,229282.767
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,238735.403
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,234322.608
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,223590.494
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,203474.989
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,185899.164
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,178113.897
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,176071.843
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,175362.878
"GRC","Greece","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,174448.185
