"ISO3","Area","UN Region","EBRD Region","Item","Element","Unit","Year","value"
"GTM","Guatemala","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1992,47362.957307
"GTM","Guatemala","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1993,56362.598248
"GTM","Guatemala","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1994,65509.367263
"GTM","Guatemala","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1995,74710.706142
"GTM","Guatemala","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1996,83766.496139
"GTM","Guatemala","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1997,94639.760905
"GTM","Guatemala","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1998,108808.624348
"GTM","Guatemala","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1999,118691.2092
"GTM","Guatemala","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2000,131373.877307
"GTM","Guatemala","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2001,144645.32091
"GTM","Guatemala","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2002,159927.83045
"GTM","Guatemala","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2003,171282.062165
"GTM","Guatemala","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2004,187417.794915
"GTM","Guatemala","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2005,204432.292242
"GTM","Guatemala","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2006,226188.623621
"GTM","Guatemala","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2007,257606.002712
"GTM","Guatemala","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2008,291176.008931
"GTM","Guatemala","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2009,303079.229769
"GTM","Guatemala","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2010,327807.250233
"GTM","Guatemala","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2011,365123.633068
"GTM","Guatemala","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2012,388458.833887
"GTM","Guatemala","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2013,416383.220338
