"ISO3","Area","Item","Element","Unit","Year","value"
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,74526.70558
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,94285.037461
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,120259.50959
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,140765.755728
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,157935.889656
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,170119.396966
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,172230.779646
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,197208.564332
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,207331.719359
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,230827.084457
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,259925.417971
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,293468.189305
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,345311.779236
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,395403.069611
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,476411.796401
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,552602.54755
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,616029.300497
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,645636.737288
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,699064.057025
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,753107.086871
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,830326
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,856042
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,852152
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,883787
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,925677
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,980498
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2018,994472
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2019,1078729
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2020,1141341.183499
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2021,1677280
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2022,3068783.692992
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2023,3478385.719221
"GUY","Guyana","Gross Domestic Product","Value Standard Local Currency","million SLC",2024,4320710.840903
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",1992,596.201721
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",1993,743.980974
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",1994,869.616749
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",1995,991.383773
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",1996,1125.099837
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",1997,1194.651695
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",1998,1144.244839
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",1999,1107.944405
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2000,1136.500134
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2001,1232.255272
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2002,1363.257116
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2003,1513.671921
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2004,1741.294602
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2005,1978.251755
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2006,2379.817987
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2007,2730.969364
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2008,3025.188904
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2009,3165.661865
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2010,3432.912791
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2011,3691.384743
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2012,4063.088529
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2013,4167.800936
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2014,4127.660158
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2015,4279.840194
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2016,4482.697337
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2017,4748.174334
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2018,4787.637006
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2019,5173.760192
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2020,5474.058434
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2021,8044.508393
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2022,14718.387017
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2023,16682.905128
"GUY","Guyana","Gross Domestic Product","Value US$","million USD",2024,20749.86048
"GUY","Guyana","Gross Domestic Product","Value US$ per capita","USD",1992,795.029971
"GUY","Guyana","Gross Domestic Product","Value US$ per capita","USD",1993,988.069124
"GUY","Guyana","Gross Domestic Product","Value US$ per capita","USD",1994,1150.558364
"GUY","Guyana","Gross Domestic Product","Value US$ per capita","USD",1995,1307.225887
"GUY","Guyana","Gross Domestic Product","Value US$ per capita","USD",1996,1479.370643
"GUY","Guyana","Gross Domestic Product","Value US$ per capita","USD",1997,1567.28149
"GUY","Guyana","Gross Domestic Product","Value US$ per capita","USD",1998,1498.515673
"GUY","Guyana","Gross Domestic Product","Value US$ per capita","USD",1999,1449.272783
"GUY","Guyana","Gross Domestic Product","Value US$ per capita","USD",2000,1485.947415
"GUY","Guyana","Gross Domestic Product","Value US$ per capita","USD",2001,1611.892138
"GUY","Guyana","Gross Domestic Product","Value US$ per capita","USD",2002,1785.181098
"GUY","Guyana","Gross Domestic Product","Value US$ per capita","USD",2003,1983.578752
"GUY","Guyana","Gross Domestic Product","Value US$ per capita","USD",2004,2283.910665
"GUY","Guyana","Gross Domestic Product","Value US$ per capita","USD",2005,2599.836191
