"ISO3","Area","Item","Element","Unit","Year","value"
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,807130
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,931010
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,1049610
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,1119006
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,1235301
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,1373083
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,1308074
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,1285946
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,1337501
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,1321142
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,1297341
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,1256669
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,1316949
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,1412125
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,1503351
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,1650756
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,1707487
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,1659245
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,1776332
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,1934430
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,2037059
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,2138305
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,2260005
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,2398280
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,2490598
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,2659611
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2018,2835429
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2019,2845022
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2020,2675793
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2021,2867973
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2022,2808981
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2023,2981601
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value Standard Local Currency","million SLC",2024,3209706.789843
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value US$","million USD",1992,104272.503149
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value US$","million USD",1993,120354.207289
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value US$","million USD",1994,135811.776884
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value US$","million USD",1995,144652.289131
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value US$","million USD",1996,159718.180109
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value US$","million USD",1997,177353.167214
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value US$","million USD",1998,168885.436392
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value US$","million USD",1999,165768.095392
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value US$","million USD",2000,171668.898539
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value US$","million USD",2001,169404.327617
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value US$","million USD",2002,166348.873241
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value US$","million USD",2003,161385.558802
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value US$","million USD",2004,169099.768875
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value US$","million USD",2005,181569.30396
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value US$","million USD",2006,193535.434591
"HKG","China, Hong Kong Special Administrative Region","Gross Domestic Product","Value US$","million USD",2007,211596.953545
