"ISO3","Area","Item","Element","Unit","Year","value"
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,428.162339
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,6169.992369
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,13832.494174
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,15716.118
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,17315.648
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,19650.4
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,21736.348
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,22309.081
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,23965.37
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,25755.79
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,28297.094
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,31157.459
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,33633.158
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,36181.275
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,39495.22
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,43267.632
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,46558.857
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,44681.439
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,44490.987
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,45189.479
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,44794.478
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,45066.165
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,44871.79
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,45971.344
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,47569.66
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,49735.51
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2018,52216.872
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2019,54906.287
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2020,50747.105
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2021,58346.838
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2022,67615.065
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2023,78048.479
"HRV","Croatia","Gross Domestic Product","Value Standard Local Currency","million SLC",2024,84034.637654
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",1992,12252.22402
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",1993,12988.508885
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",1994,17375.913468
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",1995,22637.853722
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",1996,24008.259206
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",1997,24032.782094
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",1998,25737.099132
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",1999,23635.243109
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",2000,21813.766245
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",2001,23263.926864
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",2002,27084.991645
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",2003,35012.224616
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",2004,41994.485056
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",2005,45822.316426
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",2006,50974.181912
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",2007,60769.467026
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",2008,71083.056234
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",2009,63712.285402
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",2010,60970.661382
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",2011,63714.152001
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",2012,57690.11258
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",2013,59519.395723
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",2014,58816.418326
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",2015,50503.900672
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",2016,52661.492963
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",2017,56573.333483
"HRV","Croatia","Gross Domestic Product","Value US$","million USD",2018,62657.499599
