"ISO3","Area","Item","Element","Unit","Year","value"
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,25587.265698
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,29877.013795
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,43011.16128
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,57189.557423
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,68338.047782
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,82547.677227
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,100464.575505
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,115229.794688
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,134678.301798
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,152313.259355
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,168519.835851
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,206835.832305
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,241983.935754
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,282314.554787
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,307083.52238
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,348415.547341
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,395564.158321
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,467331.766419
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,478044.247058
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,524124.003953
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,569991.986442
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,645073.665876
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,675911.848203
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,720254.964982
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,848104.900102
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,988912.417921
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2018,1070166.120059
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2019,1249213.989357
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2020,1547377.827798
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2021,1699208.624275
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2022,2168222.876433
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2023,2798324
"HTI","Haiti","Gross Domestic Product","Value Standard Local Currency","million SLC",2024,3311536.423863
"HTI","Haiti","Gross Domestic Product","Value US$","million USD",1992,2610.501517
"HTI","Haiti","Gross Domestic Product","Value US$","million USD",1993,2330.045919
"HTI","Haiti","Gross Domestic Product","Value US$","million USD",1994,2859.78466
"HTI","Haiti","Gross Domestic Product","Value US$","million USD",1995,3784.948163
"HTI","Haiti","Gross Domestic Product","Value US$","million USD",1996,4352.423089
"HTI","Haiti","Gross Domestic Product","Value US$","million USD",1997,4956.478863
"HTI","Haiti","Gross Domestic Product","Value US$","million USD",1998,5992.280385
"HTI","Haiti","Gross Domestic Product","Value US$","million USD",1999,6803.077795
"HTI","Haiti","Gross Domestic Product","Value US$","million USD",2000,6361.552233
"HTI","Haiti","Gross Domestic Product","Value US$","million USD",2001,6234.915051
"HTI","Haiti","Gross Domestic Product","Value US$","million USD",2002,5761.266709
"HTI","Haiti","Gross Domestic Product","Value US$","million USD",2003,4882.031112
"HTI","Haiti","Gross Domestic Product","Value US$","million USD",2004,6309.54645
"HTI","Haiti","Gross Domestic Product","Value US$","million USD",2005,6979.59642
