"ISO3","Area","UN Region","EBRD Region","Item","Element","Unit","Year","value"
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1992,71861214.729953
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1993,106133132.681334
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1994,139731641.980655
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1995,197370155.097261
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1996,275440304.70422
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1997,324953830.953276
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1998,362511530.648688
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1999,492492237.361444
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2000,639664897.321768
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2001,748983619.855867
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2002,1036403503.01161
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2003,1271329658.15657
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2004,1637032000
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2005,2051837235.6047
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2006,2495264629.327591
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2007,3353689378.08097
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2008,4058465056.95014
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2009,4334181338.969151
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2010,5371174100.41652
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2011,6895999706.412109
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2012,7895676801.943379
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2013,10634997796.116901
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2014,12254707585.0814
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2015,12103890086.5717
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2016,14408890814.1246
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2017,16736418990.1866
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2018,21627069968.799698
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2019,27364013247.0194
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2020,40791376857.9528
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2021,66774502000
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2022,104350050000
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2023,143039264000
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2024,200077274617.569
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",1992,109695.030881
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",1993,119239.590781
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",1994,114374.758108
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",1995,114364.442634
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",1996,125542.527212
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",1997,116910.894389
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",1998,113072.841749
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",1999,118047.03676
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2000,111614.883497
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2001,121521.1766
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2002,150050.431871
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2003,155155.859192
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2004,190043.418913
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2005,228898.554419
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2006,272083.760924
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2007,361344.09178
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2008,430445.234365
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2009,439380.418249
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2010,523803.556139
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2011,649566.740837
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2012,648486.401296
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2013,577535.51941
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2014,472394.8131
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2015,417210.198857
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2016,466083.117939
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2017,503710.010469
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2018,316943.063027
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2019,312281.284079
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2020,326968.910371
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2021,358035.844774
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2022,398047.827952
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2023,401596.284917
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$","million USD",2024,565629.271367
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",1992,1792.842386
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",1993,1941.900809
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",1994,1859.129492
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",1995,1838.492086
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",1996,1996.500203
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",1997,1837.076672
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",1998,1752.527726
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",1999,1803.748681
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2000,1680.474812
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2001,1801.594728
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2002,2206.256819
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2003,2256.177814
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2004,2705.001198
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2005,3186.739217
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2006,3707.229557
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2007,4843.582686
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2008,5700.18903
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2009,5746.703078
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2010,6765.665927
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2011,8287.02373
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2012,8170.362436
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2013,7181.965779
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2014,5796.109904
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2015,5049.787226
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2016,5561.039589
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2017,5924.135484
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2018,3680.334778
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2019,3587.310442
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2020,3727.269464
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2021,4047.638591
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2022,4446.257227
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2023,4432.204125
"IRN","Iran (Islamic Republic of)","Southern Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2024,6177.16771
