"ISO3","Area","UN Region","EBRD Region","Item","Element","Unit","Year","value"
"ITA","Italy","Southern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1992,842219.569
"ITA","Italy","Southern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1993,867486.21
"ITA","Italy","Southern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1994,917537.533
"ITA","Italy","Southern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1995,990520.9
"ITA","Italy","Southern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1996,1047745.4
"ITA","Italy","Southern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1997,1095091.6
"ITA","Italy","Southern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1998,1141256.8
"ITA","Italy","Southern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1999,1177549.7
"ITA","Italy","Southern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2000,1244744.2
"ITA","Italy","Southern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2001,1308623.1
"ITA","Italy","Southern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2002,1355522.3
"ITA","Italy","Southern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2003,1399386
"ITA","Italy","Southern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2004,1457356.2
"ITA","Italy","Southern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2005,1499073.1
"ITA","Italy","Southern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2006,1559864.2
"ITA","Italy","Southern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2007,1621714.5
"ITA","Italy","Southern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2008,1643718.8
"ITA","Italy","Southern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2009,1584106.8
"ITA","Italy","Southern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2010,1617944.7
"ITA","Italy","Southern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2011,1657362.2
"ITA","Italy","Southern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2012,1632898.5
"ITA","Italy","Southern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2013,1621260.7
"ITA","Italy","Southern Europe",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2014,1635870.7
