"ISO3","Area","Item","Element","Unit","Year","value"
"KNA","Saint Kitts and Nevis","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,653.77
"KNA","Saint Kitts and Nevis","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,712.14
"KNA","Saint Kitts and Nevis","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,796.93
"KNA","Saint Kitts and Nevis","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,846.41
"KNA","Saint Kitts and Nevis","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,901.65
"KNA","Saint Kitts and Nevis","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,1010.52
"KNA","Saint Kitts and Nevis","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,1033.76
"KNA","Saint Kitts and Nevis","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,1096.71
"KNA","Saint Kitts and Nevis","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,1181.14
"KNA","Saint Kitts and Nevis","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,1294.23
"KNA","Saint Kitts and Nevis","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,1348.31
"KNA","Saint Kitts and Nevis","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,1304.99
"KNA","Saint Kitts and Nevis","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,1423.5
"KNA","Saint Kitts and Nevis","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,1549.7
"KNA","Saint Kitts and Nevis","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,1816.75
"KNA","Saint Kitts and Nevis","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,1936.27
"KNA","Saint Kitts and Nevis","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,2099.77
"KNA","Saint Kitts and Nevis","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,2090.54
"KNA","Saint Kitts and Nevis","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,2102.54
"KNA","Saint Kitts and Nevis","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,2257.45
"KNA","Saint Kitts and Nevis","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,2228.53
