"ISO3","Area","UN Region","EBRD Region","Item","Element","Unit","Year","value"
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1992,286437400
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1993,325647800
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1994,384996600
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1995,452187100
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1996,507768400
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1997,560502000
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1998,556786900
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1999,613069300
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2000,675732600
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2001,732723100
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2002,813225400
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2003,868110600
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2004,942885300
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2005,995175500
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2006,1045663200
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2007,1134541300
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2008,1202972900
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2009,1255305500
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2010,1379460200
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2011,1448575600
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2012,1504674100
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2013,1570938200
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2014,1638484800
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2015,1740776000
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2016,1833026600
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2017,1934233900
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2018,2006974500
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2019,2040594300
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2020,2058466500
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2021,2221912900
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2022,2323781500
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2023,2401189400
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2024,2514584482.12691
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value US$","million USD",1992,366911.876004
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value US$","million USD",1993,405772.268407
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value US$","million USD",1994,478987.523405
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value US$","million USD",1995,586301.014041
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value US$","million USD",1996,631193.568336
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value US$","million USD",1997,590070.429208
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value US$","million USD",1998,396802.67487
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value US$","million USD",1999,515427.200634
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value US$","million USD",2000,597801.678665
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value US$","million USD",2001,567654.76956
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value US$","million USD",2002,649747.343905
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value US$","million USD",2003,728497.155545
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value US$","million USD",2004,822583.193445
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value US$","million USD",2005,971539.561697
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value US$","million USD",2006,1094544.65204
"KOR","Republic of Korea","Eastern Asia",NA,"Gross Domestic Product","Value US$","million USD",2007,1220756.188517
