"ISO3","Area","Item","Element","Unit","Year","value"
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,286437400
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,325647800
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,384996600
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,452187100
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,507768400
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,560502000
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,556786900
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,613069300
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,675732600
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,732723100
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,813225400
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,868110600
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,942885300
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,995175500
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,1045663200
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,1134541300
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,1202972900
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,1255305500
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,1379460200
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,1448575600
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,1504674100
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,1570938200
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,1638484800
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,1740776000
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,1833026600
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,1934233900
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2018,2006974500
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2019,2040594300
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2020,2058466500
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2021,2221912900
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2022,2323781500
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2023,2401189400
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency","million SLC",2024,2514584482.12691
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",1992,366911.876004
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",1993,405772.268407
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",1994,478987.523405
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",1995,586301.014041
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",1996,631193.568336
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",1997,590070.429208
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",1998,396802.67487
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",1999,515427.200634
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2000,597801.678665
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2001,567654.76956
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2002,649747.343905
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2003,728497.155545
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2004,822583.193445
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2005,971539.561697
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2006,1094544.65204
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2007,1220756.188517
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2008,1093486.639028
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2009,982822.153135
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2010,1192830.015738
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2011,1307103.437904
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2012,1335343.62594
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2013,1434669.686502
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2014,1556252.42202
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2015,1539212.301136
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2016,1579150.518945
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2017,1710196.70631
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2018,1824251.399035
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2019,1751045.752055
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2020,1744070.227117
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2021,1942313.617563
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2022,1799363.117331
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2023,1839058.255866
"KOR","Republic of Korea","Gross Domestic Product","Value US$","million USD",2024,1846472.266796
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",1992,8216.831239
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",1993,9039.715913
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",1994,10613.308285
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",1995,12923.106931
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",1996,13830.226874
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",1997,12843.941978
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",1998,8583.066044
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",1999,11084.364631
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2000,12782.646139
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2001,12066.601245
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2002,13736.985742
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2003,15332.211448
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2004,17245.988036
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2005,20303.159526
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2006,22799.917783
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2007,25338.394826
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2008,22613.026115
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2009,20244.886397
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2010,24458.608609
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2011,26606.271842
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2012,26922.478767
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2013,28652.612753
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2014,30793.065019
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2015,30190.157166
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2016,30783.957955
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2017,33216.558312
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2018,35325.712971
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2019,33824.968341
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2020,33631.340075
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2021,37461.401147
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2022,34748.471351
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2023,35538.223566
"KOR","Republic of Korea","Gross Domestic Product","Value US$ per capita","USD",2024,35702.983584
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1992,552981206.503028
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1993,591660682.034291
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1994,647110149.503991
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1995,710112106.108666
"KOR","Republic of Korea","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1996,766853115.628014
