"ISO3","Area","Item","Element","Unit","Year","value"
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,1034.282251
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,3519.560036
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,5133.511663
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,7814.274
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,9766.395
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,11779.943
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,13078.494
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,12769.098
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,13381.481
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,14204.092
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,15206.357
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,16674.354
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,18312.796
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,20985.976
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,23999.594
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,29034.064
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,32683.096
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,26973.457
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,27663.434
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,31066.437
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,33240.431
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,34874.027
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,36410.129
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,37440.714
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,38820.696
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,42274.551
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2018,45947.405
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2019,49239.233
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2020,50264.607
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2021,56679.662
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2022,67455.464
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2023,73792.835
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency","million SLC",2024,77093.888564
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",1992,8092.925401
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",1993,6940.398387
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",1994,6396.314309
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",1995,6745.281317
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",1996,8430.352164
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",1997,10168.446798
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",1998,11289.356021
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",1999,11022.285394
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2000,11550.894399
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2001,12260.972214
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2002,14279.332179000001
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2003,18809.447049
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2004,22739.916395
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2005,26121.025561
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2006,30108.656873
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2007,39722.559383
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2008,47876.369597
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2009,37493.036458
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2010,36647.770143
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2011,43233.321379
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2012,42725.278711
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2013,46294.753801
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2014,48347.227745
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2015,41540.954817
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2016,42970.749245
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2017,47756.764508
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2018,54261.795149
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2019,55122.066226
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2020,57412.038533
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2021,67037.321009
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2022,71033.8845
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2023,79789.877416
"LTU","Lithuania","Gross Domestic Product","Value US$","million USD",2024,83490.693156
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",1992,2188.729683
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",1993,1885.877123
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",1994,1750.069786
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",1995,1859.721711
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",1996,2341.952171
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",1997,2845.587168
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",1998,3182.098735
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",1999,3128.752079
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2000,3299.876528
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2001,3530.365129
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2002,4146.08676
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2003,5507.442454
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2004,6734.362878
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2005,7862.41955
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2006,9208.080986
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2007,12292.776814
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2008,14968.473185
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2009,11852.679696
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2010,11830.564434
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2011,14274.823012
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2012,14297.378757
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2013,15648.787158
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2014,16482.938497
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2015,14296.052542
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2016,14977.033552
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2017,16879.282337
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2018,19362.077115
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2019,19721.260248
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2020,20535.36288
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2021,23989.128958
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2022,25216.867042
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2023,27956.240276
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita","USD",2024,29201.642384
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1992,20628.137854
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1993,17280.838312
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1994,15593.182651
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1995,16106.210863
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1996,16915.861154
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1997,18319.98426
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1998,19687.192788
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1999,19471.22335
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2000,20136.870796
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2001,21442.570784
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2002,22883.477442
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2003,25298.118255
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2004,26943.010423
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2005,29026.095069
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2006,31172.714186
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2007,34626.005207
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2008,35526.095136
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2009,30254.516095
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2010,30383.762728
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2011,32305.121982
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2012,33721.025013
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2013,35085.685993
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2014,36409.308384
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2015,37440.714
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2016,38441.100391
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2017,40214.097274
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2018,42191.975289
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2019,44165.442362
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2020,44184.351609
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2021,47003.320414
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2022,48196.041758
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2023,48360.998025
"LTU","Lithuania","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2024,49428.916208
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",1992,6189.833512
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",1993,5209.861177
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",1994,4733.612345
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",1995,4926.898635
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",1996,5213.852834
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",1997,5688.198214
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",1998,6156.879138
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",1999,6132.323967
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2000,6382.729105
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2001,6850.210565
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2002,7371.992137
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2003,8218.536913
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2004,8852.91149
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2005,9693.641546
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2006,10577.541013
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2007,11889.059926
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2008,12323.558173
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2009,10611.786346
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2010,10882.578753
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2011,11834.662264
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2012,12520.0089
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2013,13158.646786
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2014,13772.343415
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2015,14296.052542
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2016,14865.551982
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2017,15769.92973
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2018,16703.981428
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2019,17531.703321
"LTU","Lithuania","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2020,17534.777223
