"ISO3","Area","UN Region","EBRD Region","Item","Element","Unit","Year","value"
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,1558.521149
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,2275.881471
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,3168.85855
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,3932.476
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,4544.461
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,5248.481
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,5853.373
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,6098.123
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,6697.961
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,7317.74
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,8135.447
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,9142.771
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,10628.869
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,13102.623
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,16294.807
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,21509.327
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,23351.891
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,18482.487
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,17719.64
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,19117.26
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,21104.326
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,21956.193
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,22790.505
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,23744.263
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,24498.174
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,26017.128
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2018,28153.443
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2019,29567.001
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2020,29224.34
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2021,32285.3
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2022,36103.656
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2023,39072.483
"LVA","Latvia","Northern Europe","Central Europe and the Baltic States","Gross Domestic Product","Value Standard Local Currency","million SLC",2024,40866.6573
