"ISO3","Area","UN Region","EBRD Region","Item","Element","Unit","Year","value"
"MAR","Morocco","Northern Africa","Southern and eastern Mediterranean","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,285198.484593
"MAR","Morocco","Northern Africa","Southern and eastern Mediterranean","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,292610.639519
"MAR","Morocco","Northern Africa","Southern and eastern Mediterranean","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,327950.313912
"MAR","Morocco","Northern Africa","Southern and eastern Mediterranean","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,330743.711609
"MAR","Morocco","Northern Africa","Southern and eastern Mediterranean","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,374933.920013
"MAR","Morocco","Northern Africa","Southern and eastern Mediterranean","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,373762.529258
"MAR","Morocco","Northern Africa","Southern and eastern Mediterranean","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,403893.230794
"MAR","Morocco","Northern Africa","Southern and eastern Mediterranean","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,409340.328128
"MAR","Morocco","Northern Africa","Southern and eastern Mediterranean","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,413345.793991
"MAR","Morocco","Northern Africa","Southern and eastern Mediterranean","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,448042.669192
"MAR","Morocco","Northern Africa","Southern and eastern Mediterranean","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,468032.171442
"MAR","Morocco","Northern Africa","Southern and eastern Mediterranean","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,501230.674576
"MAR","Morocco","Northern Africa","Southern and eastern Mediterranean","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,530645.420476
"MAR","Morocco","Northern Africa","Southern and eastern Mediterranean","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,554459.65928
"MAR","Morocco","Northern Africa","Southern and eastern Mediterranean","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,606645.247447
"MAR","Morocco","Northern Africa","Southern and eastern Mediterranean","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,647530
"MAR","Morocco","Northern Africa","Southern and eastern Mediterranean","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,725097.062389
